Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
K11_OTHDISDIG,25,0.629 [0.606-0.65],1.000e-315,***,Other diseases of the digestive system,Digestive
E4_LIPOPROTNAS,242,0.494 [0.449-0.54],2.862e-97,***,"Disorder of lipoprotein metabolism, unspecified",Endocrine and metabolic
E4_HYPERLIPNAS,1251,0.377 [0.349-0.41],1.169e-146,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
MEMLOSS,48,0.321 [0.227-0.42],5.702e-06,***,Memory loss,Mental and behavioural
E4_FH,518,0.313 [0.281-0.35],9.905e-77,***,Familial hypercholesterolemia,Endocrine and metabolic
E4_METABOLIA,4834,0.301 [0.281-0.32],1.090e-188,***,Metabolic disorders,Endocrine and metabolic
I9_POSTAMI,149,0.286 [0.231-0.34],4.037e-19,***,Status post-ami,Circulatory
G6_MIGRAINE_WITH_AURA,143,0.224 [0.209-0.24],1.368e-181,***,Migraine with aura,Nervous
F5_MENTORG,85,0.193 [0.139-0.25],3.291e-07,***,Other mental disorders due to brain damage and dysfunction and to physical disease,Mental and behavioural
VD_U,43,0.186 [0.134-0.24],8.123e-07,***,Vascular dementia (undefined),Mental and behavioural
N14_CYSTITIS,693,0.182 [0.159-0.21],1.408e-46,***,Cystitis,Genitourinary
E4_LIPOPROT,7076,0.176 [0.162-0.19],3.067e-136,***,Disorders of lipoprotein metabolism and other lipidaemias,Endocrine and metabolic
AB1_BACT_INTEST_OTH,357,0.164 [0.157-0.17],1.000e-315,***,Other bacterial intestinal infections,Infectious and parasitic
F5_DELIRIUM,173,0.162 [0.125-0.20],4.517e-12,***,"Delirium, not induced by alcohol and other psychoactive substances",Mental and behavioural
K11_OESSTODUO,43,0.161 [0.126-0.19],8.206e-15,***,"Diseases of oesophagus, stomach and duodenum",Digestive
F5_VASCDEM,107,0.150 [0.111-0.19],7.295e-09,***,Vascular dementia,Mental and behavioural
CD2_BENIGN_COLON_NOS,212,0.144 [0.104-0.18],5.652e-07,***,"Benign neoplasm: Colon, unspecified",Neoplasms
I9_UAP,1483,0.140 [0.122-0.16],1.341e-48,***,Unstable angina pectoris,Circulatory
J10_BRONCHIECTASIS,2,0.109 [0.071-0.15],0.004,**,Bronchiectasis,Respiratory
O15_PRETERM,17,0.106 [0.083-0.13],7.069e-14,***,Preterm labour and delivery,Pregnancy
K11_HAEMORR,329,0.092 [0.069-0.12],3.728e-09,***,Haemorrhoids and perianal venous thrombosis,Digestive
M13_SHOULDER,206,0.092 [0.069-0.11],1.173e-09,***,Shoulder lesions,Musculoskeletal
M13_SOFTTISSUE,1904,0.082 [0.072-0.09],3.693e-44,***,Soft tissue disorders,Musculoskeletal
K11_INTESTOTH,398,0.082 [0.065-0.10],1.541e-15,***,Other diseases of intestines,Digestive
I9_IHD,7725,0.079 [0.070-0.09],1.603e-60,***,"Ischaemic heart disease, wide definition",Circulatory
AD_AM,451,0.077 [0.063-0.09],1.054e-19,***,Alzheimer disease (Atypical or mixed),Nervous
C_DIFFICILE_ENTEROCOLITIS,2693,0.074 [0.072-0.08],1.000e-315,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
AUD,259,0.072 [0.062-0.08],1.840e-41,***,"Alcohol use disorder, ICD-based",Mental and behavioural
H8_NONSUPPNAS,1145,0.071 [0.064-0.08],2.240e-87,***,Nonsuppurative otitis media,Ear and mastoid
G6_NERPLEX,2804,0.066 [0.059-0.07],1.422e-87,***,"Nerve, nerve root and plexus disorders",Nervous
CD2_NONFOLLICULAR_LYMPHOMA,1093,0.065 [0.062-0.07],1.000e-315,***,Non-follicular lymphoma,Neoplasms
F5_DEMENTIA,3309,0.062 [0.055-0.07],2.683e-55,***,Dementia,Mental and behavioural
I9_CHD,6392,0.062 [0.053-0.07],3.846e-39,***,Major coronary heart disease event,Circulatory
I9_ANGINA,5810,0.060 [0.052-0.07],2.788e-37,***,Angina pectoris,Circulatory
M13_MENISCUSDERANGEMENTS,937,0.060 [0.049-0.07],1.588e-21,***,Meniscus derangement,Musculoskeletal
CD2_BENIGN_COLORECANI,1443,0.060 [0.048-0.07],1.929e-18,***,"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms
G6_NEURODEGENERATIVE,4070,0.058 [0.052-0.06],1.925e-79,***,Unspecific neurodegenerative disorder,Nervous
M13_OTHERJOINT,3314,0.058 [0.047-0.07],6.012e-23,***,Other joint disorders,Musculoskeletal
KRA_PSY_DEMENTIA,2863,0.056 [0.048-0.06],3.846e-38,***,Any dementia,Mental and behavioural
F5_ALCOHOL_DEPENDENCE,95,0.055 [0.037-0.07],0.001,**,Alcohol dependence,Mental and behavioural
E4_ENDOGLAND,62,0.055 [0.037-0.07],2.680e-04,***,Disorders of other endocrine glands,Endocrine and metabolic
I9_ATHSCLE,3616,0.054 [0.048-0.06],1.452e-55,***,"Atherosclerosis, excluding cerebral and coronary sclerosis",Circulatory
H7_EYEOTH,57,0.054 [0.042-0.07],1.820e-12,***,Other disorders of eye and adnexa,Eye and adnexa
I9_CORATHER,8695,0.054 [0.046-0.06],8.583e-43,***,Coronary atherosclerosis,Circulatory
KRA_PSY_SUBSTANCE,742,0.051 [0.036-0.07],3.324e-05,***,Substance abuse,Mental and behavioural
G6_ALZHEIMER,2982,0.049 [0.043-0.06],3.350e-46,***,Alzheimer disease,Nervous
N14_CHRONEPHROPATH,18,0.048 [0.038-0.06],9.068e-15,***,Chronic nephritic syndrome,Genitourinary
M13_ARTHROPATHIES,7062,0.048 [0.042-0.05],9.284e-52,***,Arthropathies,Musculoskeletal
K11_CHRONPANC,105,0.046 [0.040-0.05],4.538e-44,***,Chronic pancreatitis,Digestive
H7_KERATITISOTH,43,0.044 [0.033-0.05],2.429e-10,***,Other keratitis,Eye and adnexa
K11_PANCOTH,29,0.043 [0.032-0.05],9.593e-09,***,Other diseases of pancreas,Digestive
F5_ALZHDEMENT,2076,0.042 [0.035-0.05],2.030e-27,***,Dementia in Alzheimer disease,Mental and behavioural
M13_THORACISPINEPAIN,151,0.041 [0.033-0.05],9.779e-19,***,Pain in thoracic spine,Musculoskeletal
E4_GOITRENOD,331,0.041 [0.037-0.05],9.137e-60,***,Nontoxic single thyroid nodule,Endocrine and metabolic
JOINTPAIN,1595,0.041 [0.037-0.05],1.046e-68,***,Pain in joint,Musculoskeletal
C3_CERVIX_UTERI,81,0.041 [0.037-0.04],7.565e-98,***,Malignant neoplasm of cervix uteri,Neoplasms
N14_RENALTUB,449,0.039 [0.030-0.05],2.665e-14,***,Renal tubulo-interstitial diseases,Genitourinary
N14_FEMALEINFERT,80,0.038 [0.024-0.05],0.032,*,Female infertility,Genitourinary
CD2_BENIGN_OTHERDIGESTIVE,74,0.037 [0.026-0.05],2.300e-06,***,Benign neoplasm of other and ill-defined parts of digestive system,Neoplasms
K11_ORAL_LICHEN_PLANUS,6,0.037 [0.026-0.05],3.149e-06,***,Oral lichen planus,Digestive
H7_CONJUNCTIVITISACUNONATOPIC,214,0.033 [0.022-0.04],2.313e-04,***,"Conjunctivitis (acute, non atopic)",Eye and adnexa
K11_OTHGASTR,253,0.032 [0.025-0.04],3.021e-14,***,Other gastritis (incl. Duodenitis),Digestive
M13_DORSALGIANAS,1009,0.032 [0.025-0.04],6.768e-18,***,Other/unspecified dorsalgia,Musculoskeletal
H7_OCUPAIN,174,0.030 [0.025-0.04],1.198e-26,***,Ocular pain,Eye and adnexa
G6_CARPTU,3265,0.030 [0.026-0.03],2.888e-47,***,Carpal tunnel syndrome,Nervous
CD2_HODGKIN_LYMPHOMA,268,0.030 [0.029-0.03],3.680e-273,***,"Hodgkin lymphoma, hilmo",Neoplasms
M13_PYOGARTH,525,0.030 [0.027-0.03],1.065e-98,***,Pyogenic arthritis,Musculoskeletal
M13_HALLUXVALGUS,3980,0.029 [0.026-0.03],3.583e-70,***,Hallux valgus (acquired),Musculoskeletal
NEURODEGOTH,4178,0.029 [0.023-0.03],2.525e-18,***,Other degenerative diseases of the nervous system,Nervous
N14_CHRONKIDNEYDIS,1777,0.029 [0.025-0.03],1.032e-39,***,Chronic kidney disease,Genitourinary
K11_LIVER,812,0.028 [0.023-0.03],1.826e-33,***,Diseases of liver,Digestive
L12_LICHSIMPANDPRURIGO,167,0.028 [0.022-0.03],1.175e-14,***,Lichen simplex chronicus and prurigo,Skin
M13_CRYSTALARTH,168,0.027 [0.025-0.03],5.917e-74,***,Other crystal arthropathies,Musculoskeletal
K11_DISLIVOTH,287,0.026 [0.021-0.03],2.591e-18,***,Other diseases of liver,Digestive
AMN2,162,0.024 [0.020-0.03],2.006e-20,***,Transient global amnesia,Nervous
I9_AVBLOCK,403,0.024 [0.019-0.03],1.421e-13,***,AV-block,Circulatory
ULCEROTH,633,0.023 [0.020-0.03],9.226e-63,***,Other ulcerative colitis,Digestive
