Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
G6_OTHNEU,31,0.245 [0.195-0.30],2.522e-16,***,Other neurological diseases,Nervous
CD2_BENIGN_PITUITARY_CRANIPHAR,90,0.203 [0.193-0.21],1.000e-315,***,"Benign neoplasm: Pituitary gland, craniopharyngeal duct",Neoplasms
J10_BRONCHIECTASIS,2,0.161 [0.118-0.20],2.707e-08,***,Bronchiectasis,Respiratory
N14_URINOTH,1485,0.149 [0.142-0.16],1.000e-315,***,Other diseases of urinary system,Genitourinary
G6_MIGRAINE_WITH_AURA,143,0.131 [0.117-0.14],2.059e-72,***,Migraine with aura,Nervous
AB1_BACT_INTEST_OTH,357,0.130 [0.122-0.14],2.186e-204,***,Other bacterial intestinal infections,Infectious and parasitic
N14_URETHRAOTH,610,0.111 [0.102-0.12],1.018e-110,***,Other disorders of urethra and urinary system,Genitourinary
K11_LIVER,812,0.096 [0.091-0.10],5.723e-247,***,Diseases of liver,Digestive
AUD,259,0.091 [0.072-0.11],1.056e-14,***,"Alcohol use disorder, ICD-based",Mental and behavioural
K11_OTHDISDIG,25,0.090 [0.064-0.12],2.163e-06,***,Other diseases of the digestive system,Digestive
N14_CYSTITIS,693,0.089 [0.080-0.10],2.839e-77,***,Cystitis,Genitourinary
K11_DISLIVOTH,287,0.086 [0.082-0.09],1.000e-315,***,Other diseases of liver,Digestive
K11_PANCOTH,29,0.084 [0.071-0.10],2.302e-33,***,Other diseases of pancreas,Digestive
F5_ALCOHOL_DEPENDENCE,95,0.075 [0.053-0.10],2.377e-05,***,Alcohol dependence,Mental and behavioural
K11_FUNCDYSP,169,0.075 [0.064-0.09],3.527e-35,***,Functional dyspepsia,Digestive
D3_OTHERBLOOD,428,0.074 [0.072-0.08],1.000e-315,***,Other diseases of blood and blood-forming organs,Blood and immune
M13_OTHERJOINT,3314,0.070 [0.062-0.08],1.007e-58,***,Other joint disorders,Musculoskeletal
N14_MENSIRREG,59,0.069 [0.051-0.09],5.354e-09,***,Irregular menses,Genitourinary
M13_ARTHROSIS,4684,0.065 [0.059-0.07],2.357e-94,***,Arthrosis,Musculoskeletal
G6_PARKINSON,2693,0.061 [0.060-0.06],1.000e-315,***,Parkinson's disease,Nervous
C3_BILIARY_GALLBLADDER,192,0.059 [0.056-0.06],9.919e-268,***,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder",Neoplasms
K11_OTHANRECT,204,0.059 [0.043-0.07],9.378e-08,***,Other diseases of anus and rectum,Digestive
E4_PCOS_CONCORTIUM,205,0.055 [0.042-0.07],2.389e-10,***,"Polycystic ovarian syndrome, consortium definition",Endocrine and metabolic
I9_SEQULAE,126,0.055 [0.035-0.07],0.019,*,Sequelae of cerebrovascular disease,Circulatory
O15_PREG_PROLONGED,37,0.053 [0.038-0.07],1.321e-07,***,Prolonged pregnancy,Pregnancy
H8_EXT_NAS,170,0.052 [0.046-0.06],1.105e-59,***,"Otitis externa, unspecified",Ear and mastoid
M13_SCIATICA,658,0.052 [0.042-0.06],4.956e-19,***,Sciatica+with lumbago,Musculoskeletal
I9_OTHARR,798,0.049 [0.044-0.05],1.133e-70,***,Other arrhythmias,Circulatory
NAFLD,505,0.049 [0.044-0.05],1.688e-100,***,Nonalcoholic fatty liver disease,Digestive
J10_ACUTEUPPERINFEC,241,0.048 [0.035-0.06],1.346e-06,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
H8_OTHEREAR,3939,0.046 [0.042-0.05],1.184e-102,***,Other disorders of ear,Ear and mastoid
M13_ARTHROSIS_OTH,570,0.045 [0.034-0.06],1.689e-08,***,Other arthrosis,Musculoskeletal
NEURODEGOTH,4178,0.045 [0.043-0.05],1.000e-315,***,Other degenerative diseases of the nervous system,Nervous
I9_HEARTFAIL,682,0.044 [0.037-0.05],8.345e-35,***,"Heart failure, strict",Circulatory
F5_DEMINOTH,8,0.043 [0.028-0.06],0.002,**,Dementia in other diseases classified elsewhere,Mental and behavioural
O15_HAEMORRH_EARLY_PREG,148,0.042 [0.029-0.06],5.481e-05,***,Haemorrhage in early pregnancy,Pregnancy
M13_ARTHTROSIS_COX,3783,0.040 [0.037-0.04],1.169e-102,***,Coxarthrosis,Musculoskeletal
C_DIFFICILE_ENTEROCOLITIS,2693,0.038 [0.036-0.04],3.793e-235,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
IPF,3405,0.038 [0.038-0.04],1.000e-315,***,Idiopathic pulmonary fibrosis,Respiratory
MEMLOSS,48,0.037 [0.030-0.04],6.164e-21,***,Memory loss,Mental and behavioural
I9_STR,191,0.037 [0.023-0.05],0.042,*,"Stroke, excluding SAH",Circulatory
M13_MYALGIA,253,0.037 [0.030-0.04],7.541e-18,***,Myalgia,Musculoskeletal
G6_DEGENOTH,14,0.037 [0.028-0.05],4.806e-10,***,Other and unspecified degenerative diseases of nervous system,Nervous
KRA_PSY_SUBSTANCE,742,0.036 [0.027-0.05],9.002e-10,***,Substance abuse,Mental and behavioural
K11_CHRONPANC,105,0.036 [0.030-0.04],3.337e-23,***,Chronic pancreatitis,Digestive
CD2_INSITU_BLADDER,34,0.036 [0.030-0.04],5.881e-24,***,"Carcinoma in situ, bladder",Neoplasms
JOINTPAIN,1595,0.035 [0.030-0.04],1.148e-35,***,Pain in joint,Musculoskeletal
N14_NEUROMUSCDYSBLADD,98,0.035 [0.026-0.04],3.828e-11,***,Neuromuscular dysfunction of bladder,Genitourinary
K11_FIBROCHIRLIV,942,0.035 [0.032-0.04],9.430e-180,***,Fibrosis and cirrhosis of liver,Digestive
K11_ORAL_LICHEN_PLANUS,6,0.034 [0.022-0.05],0.006,**,Oral lichen planus,Digestive
COPD_EARLY,512,0.033 [0.030-0.04],7.750e-69,***,Early onset COPD,Respiratory
I9_VARICVEOES,203,0.033 [0.030-0.04],2.751e-123,***,Oesophageal varices,Circulatory
M13_MUSCLE,168,0.032 [0.027-0.04],7.735e-33,***,Disorders of muscles,Musculoskeletal
I9_PAROXTAC,262,0.032 [0.022-0.04],4.546e-06,***,Paroxysmal tachycardia,Circulatory
H7_DIVERGSTRAB,291,0.032 [0.029-0.03],2.469e-85,***,Divergent concomitant strabismus,Eye and adnexa
M13_CALCIFICTEND,177,0.031 [0.026-0.04],2.881e-20,***,Calcific tendinitis of shoulder,Musculoskeletal
CHIRHEP_NAS,355,0.031 [0.028-0.03],3.054e-116,***,"Cirrhosis of liver, NAS",Digestive
THROMBOCYTAEMIA,728,0.030 [0.029-0.03],1.000e-315,***,Essential (haemorrhagic) thrombocythaemia,Neoplasms
J10_EMPHYSEMA,365,0.029 [0.026-0.03],6.516e-54,***,Emphysema,Respiratory
N14_RENALTUB,449,0.029 [0.019-0.04],3.197e-04,***,Renal tubulo-interstitial diseases,Genitourinary
APPENDACUT_COMPLIC,251,0.029 [0.020-0.04],2.061e-05,***,"Acute appendicitis, with complications",Digestive
K11_CHOLANGI,1455,0.028 [0.027-0.03],1.000e-315,***,"Cholangitis (primary sclerosing, PSC)",Digestive
K11_OTHENTERCOL,751,0.028 [0.023-0.03],5.398e-22,***,Other noninfective gastroenteritis and colitis,Digestive
VD_U,43,0.027 [0.023-0.03],9.344e-28,***,Vascular dementia (undefined),Mental and behavioural
F5_MENTORG,85,0.027 [0.019-0.04],2.581e-05,***,Other mental disorders due to brain damage and dysfunction and to physical disease,Mental and behavioural
H7_OPTNERVE,2671,0.027 [0.025-0.03],7.000e-202,***,Disorders of optic nerve and visual pathways,Eye and adnexa
M13_ARTHROSIS_KNEE,5080,0.027 [0.022-0.03],1.650e-30,***,Gonarthrosis,Musculoskeletal
J10_PLEURPLAGUE,310,0.027 [0.023-0.03],3.060e-59,***,Pleural plaque,Respiratory
M13_ARTHTROSIS_COX_PRIM_ICD10,4085,0.026 [0.023-0.03],3.031e-48,***,"Coxarthrosis, primary",Musculoskeletal
CHRONMYELOPRO,471,0.026 [0.025-0.03],1.000e-315,***,Chronic myeloproliferative disease,Neoplasms
C3_BRONCHUS_LUNG,573,0.025 [0.022-0.03],9.954e-46,***,Malignant neoplasm of bronchus and lung,Neoplasms
PRIM_KNEEARTHROSIS,1523,0.025 [0.020-0.03],3.005e-14,***,"Primary gonarthrosis, bilateral",Musculoskeletal
E4_PARATHYRO,319,0.025 [0.016-0.03],0.005,**,Disorders of parathyroid gland,Endocrine and metabolic
