Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
N14_CYSTITIS,693,0.543 [0.518-0.57],1.000e-315,***,Cystitis,Genitourinary
N14_URINOTH,1485,0.359 [0.335-0.38],7.368e-183,***,Other diseases of urinary system,Genitourinary
K11_OTHDISDIG,25,0.281 [0.257-0.31],6.574e-107,***,Other diseases of the digestive system,Digestive
E4_HYPERLIPMIX,365,0.235 [0.202-0.27],3.620e-38,***,Mixed hyperlipidaemia,Endocrine and metabolic
G6_DEGENOTH,14,0.228 [0.194-0.26],8.718e-36,***,Other and unspecified degenerative diseases of nervous system,Nervous
F5_DEMINOTH,8,0.227 [0.175-0.28],1.711e-12,***,Dementia in other diseases classified elsewhere,Mental and behavioural
MEMLOSS,48,0.212 [0.178-0.25],7.629e-28,***,Memory loss,Mental and behavioural
KRA_PSY_ANYMENTAL,2504,0.202 [0.187-0.22],2.506e-163,***,Any mental disorder,Mental and behavioural
AB1_BACT_INTEST_OTH,357,0.181 [0.175-0.19],1.000e-315,***,Other bacterial intestinal infections,Infectious and parasitic
N14_MALEGEN,1375,0.166 [0.156-0.18],2.925e-261,***,Diseases of male genital organs,Genitourinary
VD_U,43,0.145 [0.124-0.17],8.287e-38,***,Vascular dementia (undefined),Mental and behavioural
E4_HYPERLIPNAS,1251,0.138 [0.109-0.17],1.398e-15,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
F5_MENTORG,85,0.131 [0.090-0.17],6.407e-05,***,Other mental disorders due to brain damage and dysfunction and to physical disease,Mental and behavioural
F5_DELIRIUM,173,0.128 [0.106-0.15],1.109e-25,***,"Delirium, not induced by alcohol and other psychoactive substances",Mental and behavioural
C_DIFFICILE_ENTEROCOLITIS,2693,0.127 [0.123-0.13],1.000e-315,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
E4_FH,518,0.125 [0.088-0.16],4.486e-06,***,Familial hypercholesterolemia,Endocrine and metabolic
I9_POSTAMI,149,0.123 [0.097-0.15],1.020e-14,***,Status post-ami,Circulatory
E4_METABOLIA,4834,0.119 [0.097-0.14],1.309e-20,***,Metabolic disorders,Endocrine and metabolic
E4_LIPOPROT,7076,0.109 [0.094-0.12],1.506e-37,***,Disorders of lipoprotein metabolism and other lipidaemias,Endocrine and metabolic
F5_VASCDEM,107,0.102 [0.073-0.13],9.095e-07,***,Vascular dementia,Mental and behavioural
K11_FISTULA,485,0.098 [0.094-0.10],1.000e-315,***,Colonic or urogenital fistula,Digestive
J10_ACUTEUPPERINFEC,241,0.096 [0.067-0.12],2.092e-05,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
N14_PROSTHYPERPLA,3795,0.090 [0.086-0.09],1.000e-315,***,Hyperplasia of prostate,Genitourinary
H7_CHALAZION,671,0.088 [0.084-0.09],1.000e-315,***,Chalazion,Eye and adnexa
N14_CHRONEPHROPATH,18,0.084 [0.073-0.09],6.382e-46,***,Chronic nephritic syndrome,Genitourinary
F5_DEPRESSIO,2165,0.082 [0.075-0.09],4.318e-120,***,Depression,Mental and behavioural
M13_HAMMERTOE,331,0.076 [0.060-0.09],2.816e-15,***,Other hammer toe(s) (acquired),Musculoskeletal
J10_INFLUPNEU,534,0.076 [0.061-0.09],5.974e-20,***,Influenza and pneumonia,Respiratory
M13_SOFTTISSUEOTH,600,0.074 [0.049-0.10],0.002,**,"Other soft tissue disorders, not elsewhere classified",Musculoskeletal
J10_PLEURA,140,0.073 [0.060-0.09],3.531e-24,***,Other diseases of pleura,Respiratory
CD2_BENIGN_MELANOCYTIC_TRUNK,183,0.071 [0.064-0.08],3.961e-99,***,Melanocytic naevi of trunk,Neoplasms
NEURODEGOTH,4178,0.070 [0.066-0.07],7.887e-236,***,Other degenerative diseases of the nervous system,Nervous
AUD,259,0.066 [0.051-0.08],1.967e-11,***,"Alcohol use disorder, ICD-based",Mental and behavioural
K11_INTESTOTH,398,0.065 [0.051-0.08],1.024e-15,***,Other diseases of intestines,Digestive
H7_PARASTRAB,7,0.064 [0.044-0.08],7.403e-05,***,Paralytic strabismus,Eye and adnexa
M13_HALLUXVALGUS,3980,0.063 [0.058-0.07],2.548e-135,***,Hallux valgus (acquired),Musculoskeletal
J10_SEPTDEV,498,0.061 [0.049-0.07],7.826e-16,***,Deviated nasal septum,Respiratory
F5_ANXIETY,71,0.059 [0.040-0.08],2.331e-04,***,Other anxiety disorders,Mental and behavioural
N14_FEMALEINFERT,80,0.059 [0.044-0.07],5.870e-09,***,Female infertility,Genitourinary
M13_RADICULOPATHY,15,0.058 [0.036-0.08],0.043,*,Radiculopathy,Musculoskeletal
N14_MENSIRREG,59,0.055 [0.038-0.07],2.346e-05,***,Irregular menses,Genitourinary
AD_AM,451,0.051 [0.042-0.06],2.564e-23,***,Alzheimer disease (Atypical or mixed),Nervous
N14_OVARYCYST,986,0.049 [0.044-0.05],6.119e-80,***,Ovarian cyst,Genitourinary
CD2_BENIGN_MELANOCYTIC,521,0.048 [0.037-0.06],1.610e-13,***,Melanocytic naevi,Neoplasms
I9_HEARTFAIL,682,0.047 [0.037-0.06],2.859e-16,***,"Heart failure, strict",Circulatory
N14_MENORRHAGIA,717,0.045 [0.037-0.05],4.145e-22,***,Menorrhagia,Genitourinary
CD2_BENIGN_OVARY,144,0.045 [0.038-0.05],1.711e-31,***,Benign neoplasm of ovary,Neoplasms
J10_PLEURPLAGUE,310,0.045 [0.042-0.05],4.992e-195,***,Pleural plaque,Respiratory
K11_DISORD_TEETH,111,0.042 [0.029-0.05],5.260e-05,***,Other disorders of teeth and supporting structures,Digestive
M13_MYALGIA,253,0.041 [0.034-0.05],3.313e-20,***,Myalgia,Musculoskeletal
L12_ROSACEANAS,82,0.041 [0.034-0.05],9.640e-20,***,Other and unspecified rosacea,Skin
KRA_PSY_DEMENTIA,2863,0.041 [0.037-0.04],3.960e-88,***,Any dementia,Mental and behavioural
K11_HAEMORR,329,0.041 [0.027-0.05],8.022e-04,***,Haemorrhoids and perianal venous thrombosis,Digestive
CD2_BENIGN_THYROID,151,0.041 [0.038-0.04],1.367e-180,***,Benign neoplasm of thyroid gland,Neoplasms
F5_DEMENTIA,3308,0.040 [0.037-0.04],6.464e-98,***,Dementia,Mental and behavioural
G6_NEURODEGENERATIVE,4069,0.040 [0.037-0.04],2.725e-115,***,Unspecific neurodegenerative disorder,Nervous
COPD_EARLY,512,0.040 [0.037-0.04],6.543e-147,***,Early onset COPD,Respiratory
K11_HERNIA,6152,0.037 [0.033-0.04],2.418e-80,***,Hernia,Digestive
J10_PNEUMOTHORAX,46,0.037 [0.028-0.05],7.518e-10,***,Pneumothorax,Respiratory
K11_GASTRODUOULC,227,0.036 [0.025-0.05],1.963e-05,***,Gastroduodenal ulcer,Digestive
F5_ALZHDEMENT,2076,0.033 [0.030-0.04],4.456e-71,***,Dementia in Alzheimer disease,Mental and behavioural
J10_EMPHYSEMA,365,0.032 [0.030-0.04],8.109e-117,***,Emphysema,Respiratory
O15_PREG_OTHER_MAT_DISORD,1961,0.032 [0.024-0.04],8.727e-09,***,Other maternal disorders predominantly related to pregnancy,Pregnancy
N14_ORHCEPINDIDYMITIS,99,0.031 [0.022-0.04],6.190e-05,***,Orchitis and epididymitis,Genitourinary
G6_ALZHEIMER,2982,0.031 [0.028-0.03],1.172e-78,***,Alzheimer disease,Nervous
CD2_FOLLICULAR_LYMPHOMA,5808,0.031 [0.029-0.03],1.000e-315,***,"Follicular lymphoma, hilmo",Neoplasms
C3_BRONCHUS_LUNG,573,0.030 [0.027-0.03],8.883e-79,***,Malignant neoplasm of bronchus and lung,Neoplasms
AB1_VIRAL_OTHER_INTEST_INFECTIONS,985,0.029 [0.021-0.04],7.274e-07,***,Viral and other specified intestinal infections,Infectious and parasitic
C3_LUNG_NONSMALL,527,0.028 [0.026-0.03],2.527e-86,***,Non-small cell lung cancer,Neoplasms
N14_PHIMOSIS,4306,0.028 [0.026-0.03],3.900e-119,***,"Redundant prepuce, phimosis and paraphimosis",Genitourinary
J10_CHRONTONSADEN,5826,0.028 [0.024-0.03],1.849e-39,***,Chronic diseases of tonsils and adenoids,Respiratory
I9_CORATHER,8695,0.028 [0.020-0.04],2.197e-06,***,Coronary atherosclerosis,Circulatory
N14_BENIGNMAMDYSP,134,0.028 [0.021-0.03],2.598e-11,***,Benign mammary dysplasia,Genitourinary
H7_PTOSIS,64,0.027 [0.018-0.04],1.228e-04,***,Ptosis of eyelid,Eye and adnexa
C3_ANUS_ANALCANAL,76,0.025 [0.022-0.03],1.032e-41,***,Malignant neoplasm of anus and anal canal,Neoplasms
N14_CALCUKIDUR,1321,0.025 [0.021-0.03],1.254e-27,***,Calculus of kidney and ureter,Genitourinary
C3_KIDNEY_NOTRENALPELVIS,209,0.024 [0.019-0.03],5.448e-16,***,"Malignant neoplasm of kidney, except renal pelvis",Neoplasms
O15_LABOUR_MALPOS,202,0.024 [0.016-0.03],0.001,**,Obstructed labour due to malposition and malpresentation of fetus,Pregnancy
F5_PTSD,319,0.023 [0.015-0.03],9.601e-04,***,Post-traumatic stress disorder,Mental and behavioural
N14_BREAST,659,0.023 [0.017-0.03],4.330e-09,***,Disorders of breast,Genitourinary
CD2_BENIGN_LEIOMYOMA_UTERI,9079,0.022 [0.020-0.02],2.159e-102,***,Leiomyoma of uterus,Neoplasms
M13_POLYARTHRITIS,1672,0.021 [0.019-0.02],1.891e-45,***,"Polyarthritis, unspecified",Musculoskeletal
E4_HYPERPIT,147,0.021 [0.017-0.03],1.253e-16,***,Hyperfunction of pituitary gland,Endocrine and metabolic
N14_ENDOMETRIOSIS_UTERUS,193,0.021 [0.015-0.03],2.495e-09,***,Adenomyosis (Endometriosis of uterus),Genitourinary
I9_OTHARR,798,0.020 [0.013-0.03],3.560e-04,***,Other arrhythmias,Circulatory
H8_NONSUPPNAS,1145,0.019 [0.015-0.02],7.736e-13,***,Nonsuppurative otitis media,Ear and mastoid
G6_OTHDEMYEL,3560,0.018 [0.017-0.02],5.812e-110,***,Other demyelinating diseases of the central nervous system,Nervous
C3_THYROID_GLAND,1116,0.017 [0.015-0.02],2.738e-74,***,Malignant neoplasm of thyroid gland,Neoplasms
M13_CALCIFICTEND,177,0.017 [0.014-0.02],2.497e-20,***,Calcific tendinitis of shoulder,Musculoskeletal
H7_OPTNERVE,2671,0.017 [0.012-0.02],2.779e-07,***,Disorders of optic nerve and visual pathways,Eye and adnexa
I9_AORTANEUR,1277,0.015 [0.013-0.02],2.652e-23,***,Aortic aneurysm,Circulatory
K11_HERING,7336,0.015 [0.013-0.02],2.947e-33,***,Inguinal hernia,Digestive
CD2_LYMPHOID_LEUKAEMIA,767,0.014 [0.013-0.02],4.935e-62,***,Lymphoid leukaemia,Neoplasms
CD2_BENIGN_MENINGES,586,0.014 [0.011-0.02],2.880e-10,***,Benign neoplasm of meninges,Neoplasms
H7_BLINDMONOCULAR,75,0.014 [0.011-0.02],1.139e-16,***,"Blindness, monocular",Eye and adnexa
M13_SYSTSLCE,1075,0.013 [0.010-0.02],3.441e-14,***,Systemic sclerosis,Musculoskeletal
M13_FOREIGNBODY,77,0.012 [0.008-0.02],0.009,**,Residual foreign body in soft tissue,Musculoskeletal
N14_OTHNONINFUTER,645,0.012 [0.008-0.02],2.270e-06,***,"Other noninflammatory disorders of uterus, except cervix",Genitourinary
K11_UMBHER,2034,0.012 [0.008-0.02],7.601e-04,***,Umbilical hernia,Digestive
ULCERRECT,2148,0.011 [0.008-0.01],8.127e-12,***,Ulcerative rectosigmoiditis,Digestive
K11_DIVERTIC,4845,0.011 [0.007-0.01],0.006,**,Diverticular disease of intestine,Digestive
CD2_BENIGN_ADRENAL,332,0.011 [0.007-0.01],1.105e-05,***,Benign neoplasm: Adrenal gland,Neoplasms
M13_GOUT,3183,0.010 [0.007-0.01],9.798e-05,***,Gout,Musculoskeletal
I9_THAORTANEUR,1182,0.010 [0.008-0.01],7.680e-16,***,Thoracic aortic aneurysm,Circulatory
M13_POLYMYALGIA,4532,0.009 [0.006-0.01],1.270e-04,***,Polymyalgia rheumatica,Musculoskeletal
C3_CLL_WIDE,431,0.009 [0.008-0.01],8.082e-26,***,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, including Hilmo",Neoplasms
C3_OTHER_SKIN,9911,0.009 [0.006-0.01],0.001,**,Other malignant neoplasms of skin (=non-melanoma skin cancer),Neoplasms
GOUT_IDIO,1453,0.007 [0.006-0.01],8.806e-19,***,Idiopathic gout,Musculoskeletal
H7_HEREDRETINADYST,308,0.007 [0.005-0.01],1.693e-08,***,Hereditary retinal dystrophy,Eye and adnexa
E4_LACTONAS,2420,0.007 [0.006-0.01],7.824e-152,***,"Lactose intolerance, other/unspecified",Endocrine and metabolic
C3_BASAL_CELL_CARCINOMA,10908,0.007 [0.004-0.01],0.049,*,Basal cell carcinoma,Neoplasms
H7_IRIDONAS,4666,0.006 [0.004-0.01],2.561e-15,***,Other and unspecified iridocyclitis,Eye and adnexa
G6_RLS,898,0.005 [0.003-0.01],0.007,**,Restless leg syndrome,Nervous
E4_MINERAL_MET,806,0.004 [0.003-0.01],0.001,**,Disorders of mineral metabolism,Endocrine and metabolic
RHEUMA_SEROPOS_WIDE,21443,0.003 [0.002-0.00],2.686e-08,***,"Seropositive rheumatoid arthritis, wide",Musculoskeletal
E4_IRON_MET,3833,0.002 [0.002-0.00],1.075e-33,***,Disorders of iron metabolism,Endocrine and metabolic
D3_COAGDEFNAS,3629,-0.002 [-0.002--0.00],3.632e-07,***,Other and unspecified coagulation defects,Blood and immune
M13_ANKYLOSPON,29005,-0.002 [-0.002--0.00],2.686e-19,***,Ankylosing spondylitis,Musculoskeletal
D3_COAGOTHER,2572,-0.002 [-0.003--0.00],1.515e-04,***,Other coagulation defects,Blood and immune
E4_GILBERT,452,-0.003 [-0.003--0.00],2.432e-25,***,Gilbert syndrome,Endocrine and metabolic
M13_PSORIARTH,11110,-0.003 [-0.004--0.00],8.048e-04,***,Psoriatic arthropathies,Musculoskeletal
E4_PORBILIR,370,-0.004 [-0.004--0.00],2.915e-22,***,Disorders of porphyrin and bilirubin metabolism,Endocrine and metabolic
G6_MS,12132,-0.004 [-0.005--0.00],1.285e-09,***,MS-disease / Multiple Sclerosis,Nervous
L12_PSORI_VULG,15017,-0.004 [-0.005--0.00],5.020e-11,***,Psoriasis vulgaris,Skin
SPONDYLOARTHRITIS,25038,-0.004 [-0.005--0.00],3.548e-40,***,Spondyloarthritis,Musculoskeletal
M13_SPONDYLINFLAMNAS,14599,-0.005 [-0.005--0.00],6.292e-56,***,Other specified/unspecified inflammatory spondylopathies,Musculoskeletal
L12_PSORIASIS,18201,-0.005 [-0.006--0.00],3.214e-13,***,Psoriasis,Skin
H7_GLAUCOMA,6452,-0.007 [-0.009--0.00],0.026,*,Glaucoma,Eye and adnexa
DRY_AMD,4885,-0.007 [-0.008--0.01],2.115e-20,***,Dry age-related macular degeneration (includes geographic atrophy),Eye and adnexa
POLYCYTVERA,838,-0.007 [-0.008--0.01],6.092e-145,***,Polycythaemia vera,Neoplasms
N14_GLOMEINOTH,5455,-0.008 [-0.009--0.01],7.892e-11,***,Glomerular disorders in diseases classified elsewhere,Genitourinary
H7_SCLERACORNEA,15425,-0.008 [-0.010--0.01],1.120e-09,***,"Disorders of sclera, cornea, iris and ciliary body",Eye and adnexa
E4_PCOS,353,-0.009 [-0.011--0.01],3.181e-07,***,Polycystic ovarian syndrome,Endocrine and metabolic
J10_NASALPOLYP,7370,-0.009 [-0.011--0.01],2.845e-16,***,Nasal polyp,Respiratory
M13_POLYARTHROPATHIES,18752,-0.009 [-0.011--0.01],1.269e-13,***,Polyarthropathies,Musculoskeletal
I9_THROMBOTH,852,-0.010 [-0.013--0.01],0.003,**,Other embolism and thrombosis,Circulatory
I9_AF,9820,-0.010 [-0.011--0.01],5.448e-19,***,Atrial fibrillation and flutter,Circulatory
E4_GOITRENAS,1714,-0.010 [-0.011--0.01],7.468e-39,***,Other and/or unspecified nontoxic goitre,Endocrine and metabolic
CHRONOTH,1964,-0.010 [-0.012--0.01],1.094e-13,***,Other Crohn's disease,Digestive
N14_HYPERTROPHYBREAST,1658,-0.010 [-0.013--0.01],3.354e-04,***,Hypertrophy of breast,Genitourinary
E4_GOITREMULTINOD,6287,-0.010 [-0.012--0.01],6.499e-20,***,Nontoxic multinodular goitre,Endocrine and metabolic
I9_VARICVE,10262,-0.011 [-0.013--0.01],1.212e-13,***,Varicose veins,Circulatory
CHRONMYELOPRO,471,-0.011 [-0.012--0.01],2.202e-168,***,Chronic myeloproliferative disease,Neoplasms
THROMBOCYTAEMIA,728,-0.011 [-0.012--0.01],3.154e-117,***,Essential (haemorrhagic) thrombocythaemia,Neoplasms
DM_NEOVASCULAR_GLAUCOMA,434,-0.011 [-0.015--0.01],1.023e-05,***,Neovascular glaucoma,Eye and adnexa
I9_PHLETHROM,1191,-0.012 [-0.015--0.01],5.555e-09,***,Phlebitis and thrombophlebitis (not including DVT),Circulatory
K11_COELIAC,42109,-0.012 [-0.012--0.01],1.000e-315,***,Coeliac disease,Digestive
M13_CRYSTALARTH,168,-0.012 [-0.015--0.01],1.487e-17,***,Other crystal arthropathies,Musculoskeletal
I9_AVBLOCK,403,-0.014 [-0.018--0.01],0.007,**,AV-block,Circulatory
G6_HYDROCEPH,204,-0.014 [-0.018--0.01],2.862e-05,***,Hydrocephalus,Nervous
