Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
N14_RENALTUB,449,0.272 [0.258-0.29],1.000e-315,***,Renal tubulo-interstitial diseases,Genitourinary
K11_OTHDISDIG,25,0.225 [0.199-0.25],3.503e-61,***,Other diseases of the digestive system,Digestive
M13_SOFTTISSUE,1904,0.188 [0.175-0.20],8.647e-170,***,Soft tissue disorders,Musculoskeletal
K11_FUNCDYSP,169,0.177 [0.169-0.18],1.000e-315,***,Functional dyspepsia,Digestive
JOINTPAIN,1595,0.132 [0.125-0.14],1.000e-315,***,Pain in joint,Musculoskeletal
K11_OTHENTERCOL,751,0.122 [0.116-0.13],1.000e-315,***,Other noninfective gastroenteritis and colitis,Digestive
K11_DISLIVOTH,287,0.103 [0.099-0.11],1.000e-315,***,Other diseases of liver,Digestive
D3_AGRANULOCYTOSIS,347,0.099 [0.095-0.10],1.000e-315,***,Agranulocytosis,Blood and immune
N14_MENSIRREG,59,0.097 [0.080-0.11],1.953e-23,***,Irregular menses,Genitourinary
N14_URETHRAOTH,610,0.095 [0.083-0.11],3.088e-50,***,Other disorders of urethra and urinary system,Genitourinary
M13_MUSCLE,168,0.095 [0.090-0.10],1.000e-315,***,Disorders of muscles,Musculoskeletal
K11_LIVER,812,0.089 [0.085-0.09],1.000e-315,***,Diseases of liver,Digestive
G6_PARKINSON,2693,0.089 [0.088-0.09],1.000e-315,***,Parkinson's disease,Nervous
CD2_BENIGN_PAROTID,171,0.089 [0.084-0.09],2.743e-286,***,Benign neoplasm: Parotid gland,Neoplasms
M13_OTHERJOINT,3314,0.085 [0.078-0.09],2.216e-120,***,Other joint disorders,Musculoskeletal
C3_BILIARY_GALLBLADDER,192,0.080 [0.076-0.08],1.000e-315,***,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder",Neoplasms
N14_ABNORMALBLEED,19,0.071 [0.046-0.10],0.010,**,Other abnormal uterine and vaginal bleeding,Genitourinary
CD2_BENIGN_EAR_RESP,224,0.068 [0.060-0.08],2.999e-56,***,Benign neoplasm of middle ear and respiratory system,Neoplasms
K11_OTHINFLIV,466,0.068 [0.066-0.07],1.000e-315,***,Other inflammatory liver diseases,Digestive
J10_CHRONRHINITIS,12,0.066 [0.044-0.09],3.315e-04,***,"Chronic rhinitis, nasopharyngitis and pharyngitis",Respiratory
AB1_SEXUAL_TRANSMISSION,7171,0.064 [0.063-0.07],1.000e-315,***,Infections with a predominantly sexual mode of transmission,Infectious and parasitic
K11_CHOLECYST,114,0.062 [0.053-0.07],1.904e-29,***,Cholecystitis,Digestive
H7_EYEOTH,57,0.062 [0.049-0.08],2.901e-14,***,Other disorders of eye and adnexa,Eye and adnexa
E4_ENDOMETPOSTOP,4212,0.062 [0.061-0.06],1.000e-315,***,"Postprocedural endocrine and metabolic disorders, not elsewhere classified",Endocrine and metabolic
K11_CHOLANGI,1455,0.062 [0.060-0.06],1.000e-315,***,"Cholangitis (primary sclerosing, PSC)",Digestive
I9_ATHSCLE,3616,0.062 [0.058-0.07],4.408e-234,***,"Atherosclerosis, excluding cerebral and coronary sclerosis",Circulatory
J10_PLEURA,140,0.061 [0.049-0.07],6.308e-17,***,Other diseases of pleura,Respiratory
M13_MENISCUSDERANGEMENTS,937,0.059 [0.050-0.07],4.132e-32,***,Meniscus derangement,Musculoskeletal
G6_MIGRAINE_WITH_AURA,143,0.059 [0.049-0.07],1.351e-26,***,Migraine with aura,Nervous
