Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
J10_ACUTEUPPERINFEC,241,0.637 [0.568-0.71],3.504e-68,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
J10_INFLUPNEU,534,0.471 [0.432-0.51],4.417e-119,***,Influenza and pneumonia,Respiratory
N14_CYSTITIS,693,0.455 [0.439-0.47],1.000e-315,***,Cystitis,Genitourinary
J10_UPPERINFEC,1002,0.445 [0.412-0.48],3.500e-147,***,Acute upper respiratory infections,Respiratory
N14_URINOTH,1485,0.435 [0.423-0.45],1.000e-315,***,Other diseases of urinary system,Genitourinary
K11_OTHDISDIG,25,0.406 [0.377-0.44],3.714e-157,***,Other diseases of the digestive system,Digestive
AB1_OTHER_BACTERIAL,478,0.385 [0.348-0.42],4.609e-84,***,Other bacterial diseases,Infectious and parasitic
KRA_PSY_ANYMENTAL,2504,0.346 [0.332-0.36],1.000e-315,***,Any mental disorder,Mental and behavioural
N14_MALEGEN,1375,0.316 [0.300-0.33],1.000e-315,***,Diseases of male genital organs,Genitourinary
H8_EXTERNAL,828,0.233 [0.221-0.24],1.000e-315,***,Diseases of external ear,Ear and mastoid
N14_URETHRAOTH,610,0.219 [0.203-0.23],3.366e-165,***,Other disorders of urethra and urinary system,Genitourinary
J10_UPPERDIS,4085,0.188 [0.172-0.20],3.021e-123,***,Other diseases of upper respiratory tract,Respiratory
L12_DISORDSKINAPPENDIX,424,0.183 [0.164-0.20],4.716e-72,***,Disorders of skin appendages,Skin
N14_PROSTHYPERPLA,3795,0.176 [0.169-0.18],1.000e-315,***,Hyperplasia of prostate,Genitourinary
AB1_BACT_INTEST_OTH,357,0.167 [0.161-0.17],1.000e-315,***,Other bacterial intestinal infections,Infectious and parasitic
F5_DEPRESSIO,2165,0.166 [0.154-0.18],1.087e-163,***,Depression,Mental and behavioural
H7_CHALAZION,671,0.148 [0.142-0.15],1.000e-315,***,Chalazion,Eye and adnexa
H8_EXTOTITIS,1164,0.138 [0.127-0.15],7.678e-122,***,Otitis externa,Ear and mastoid
M13_SYNOTEND,1267,0.135 [0.115-0.15],9.409e-37,***,Disorders of synovium and tendon,Musculoskeletal
L12_INFECT_SKIN,518,0.134 [0.111-0.16],2.288e-24,***,Infections of the skin and subcutaneous tissue,Skin
O15_ABORT_MEDICAL,68,0.127 [0.098-0.16],2.796e-12,***,Medical abortion,Pregnancy
O15_MATERN_CARE_OTHER,240,0.126 [0.114-0.14],3.294e-80,***,Maternal care for other known or suspected fetal problems,Pregnancy
O15_PREG_OTHER_MAT_DISORD,1961,0.123 [0.108-0.14],9.503e-50,***,Other maternal disorders predominantly related to pregnancy,Pregnancy
AB1_VIRAL_OTHER_INTEST_INFECTIONS,985,0.120 [0.108-0.13],3.699e-74,***,Viral and other specified intestinal infections,Infectious and parasitic
L12_CORNSANDCALLOS,491,0.119 [0.112-0.13],2.631e-256,***,Corns and callosities,Skin
M13_HAMMERTOE,331,0.115 [0.098-0.13],5.171e-37,***,Other hammer toe(s) (acquired),Musculoskeletal
C_DIFFICILE_ENTEROCOLITIS,2693,0.104 [0.100-0.11],1.000e-315,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
J10_CHRONTONSADEN,5827,0.101 [0.093-0.11],2.250e-133,***,Chronic diseases of tonsils and adenoids,Respiratory
I9_ARTOTH,187,0.093 [0.085-0.10],3.301e-130,***,Other diseases of arteries and capillaries,Circulatory
MEMLOSS,48,0.089 [0.071-0.11],7.204e-16,***,Memory loss,Mental and behavioural
G6_DEGENOTH,14,0.079 [0.054-0.10],9.631e-05,***,Other and unspecified degenerative diseases of nervous system,Nervous
O15_DELIV_CAESAR,82,0.079 [0.064-0.09],3.614e-20,***,Single delivery by caesarean section,Pregnancy
N14_PHIMOSIS,4306,0.078 [0.074-0.08],1.000e-315,***,"Redundant prepuce, phimosis and paraphimosis",Genitourinary
J10_SEPTDEV,498,0.077 [0.064-0.09],1.475e-24,***,Deviated nasal septum,Respiratory
O15_MATERN_CARE_PELVIC_ABNORM,86,0.077 [0.064-0.09],3.421e-24,***,Maternal care for known or suspected abnormality of pelvic organs,Pregnancy
L12_FOLICULAROTH,12,0.075 [0.057-0.09],1.102e-10,***,Other follicular disorders,Skin
N14_CHRONEPHROPATH,18,0.074 [0.063-0.09],9.235e-35,***,Chronic nephritic syndrome,Genitourinary
J10_CHRONSINUSITIS,3550,0.072 [0.065-0.08],5.924e-79,***,Chronic sinusitis,Respiratory
M13_HALLUXVALGUS,3980,0.072 [0.067-0.08],3.463e-162,***,Hallux valgus (acquired),Musculoskeletal
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE,1622,0.071 [0.058-0.08],1.673e-19,***,Viral infections characterized by skin and mucous membrane lesions,Infectious and parasitic
M13_TENDOSYNOVITISNAS,236,0.070 [0.052-0.09],3.894e-09,***,Other/unspecified synovitis and tenosynovitis,Musculoskeletal
E4_HYPERLIPNAS,1251,0.069 [0.055-0.08],4.090e-15,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
M13_OSTEOPOROSIS,372,0.063 [0.054-0.07],2.141e-33,***,Osteoporosis,Musculoskeletal
L12_ABSCESS_CUT,66,0.063 [0.049-0.08],5.315e-14,***,"Cutaneous abscess, furuncle and carbuncle",Skin
CD2_BENIGN_MELANOCYTIC_TRUNK,183,0.062 [0.057-0.07],4.662e-103,***,Melanocytic naevi of trunk,Neoplasms
NEURODEGOTH,4178,0.062 [0.056-0.07],1.196e-107,***,Other degenerative diseases of the nervous system,Nervous
J10_PLEURPLAGUE,310,0.061 [0.058-0.06],1.000e-315,***,Pleural plaque,Respiratory
H7_VITRBODYGLOBE,276,0.061 [0.039-0.08],0.011,*,Disorders of vitreous body,Eye and adnexa
CD2_BENIGN_OTHERDIGESTIVE,74,0.058 [0.045-0.07],1.264e-12,***,Benign neoplasm of other and ill-defined parts of digestive system,Neoplasms
E4_ENDOGLAND,62,0.057 [0.038-0.08],7.070e-04,***,Disorders of other endocrine glands,Endocrine and metabolic
VD_U,43,0.057 [0.046-0.07],1.199e-18,***,Vascular dementia (undefined),Mental and behavioural
F5_MENTORG,85,0.055 [0.040-0.07],1.075e-07,***,Other mental disorders due to brain damage and dysfunction and to physical disease,Mental and behavioural
F5_DELIRIUM,173,0.055 [0.045-0.06],2.070e-21,***,"Delirium, not induced by alcohol and other psychoactive substances",Mental and behavioural
K11_PERITONITIS,161,0.054 [0.050-0.06],4.726e-163,***,Acute peritonitis,Digestive
N14_FEMALEGENNONINF,279,0.054 [0.038-0.07],5.152e-06,***,Noninflammatory disorders of female genital tract,Genitourinary
N14_MENSIRREG,59,0.051 [0.034-0.07],5.513e-04,***,Irregular menses,Genitourinary
N14_OVARYCYST,986,0.048 [0.043-0.05],4.412e-65,***,Ovarian cyst,Genitourinary
