Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
N14_CYSTITIS,693,0.442 [0.425-0.46],1.000e-315,***,Cystitis,Genitourinary
N14_URINOTH,1485,0.316 [0.299-0.33],8.029e-286,***,Other diseases of urinary system,Genitourinary
E4_HYPERLIPMIX,365,0.251 [0.217-0.28],2.089e-42,***,Mixed hyperlipidaemia,Endocrine and metabolic
F5_DELUSIO,6,0.241 [0.153-0.33],0.019,*,Persistent delusional disorders,Mental and behavioural
KRA_PSY_ANYMENTAL,2504,0.191 [0.178-0.20],2.017e-186,***,Any mental disorder,Mental and behavioural
F5_DEMINOTH,8,0.178 [0.149-0.21],5.478e-27,***,Dementia in other diseases classified elsewhere,Mental and behavioural
N14_MALEGEN,1375,0.168 [0.159-0.18],1.000e-315,***,Diseases of male genital organs,Genitourinary
G6_DEGENOTH,14,0.145 [0.132-0.16],5.498e-97,***,Other and unspecified degenerative diseases of nervous system,Nervous
J10_ACUTEUPPERINFEC,241,0.132 [0.104-0.16],3.209e-14,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
MEMLOSS,48,0.114 [0.086-0.14],1.338e-10,***,Memory loss,Mental and behavioural
AB1_BACT_INTEST_OTH,357,0.113 [0.106-0.12],1.135e-210,***,Other bacterial intestinal infections,Infectious and parasitic
M13_SOFTTISSUEOTH,600,0.103 [0.084-0.12],8.658e-21,***,"Other soft tissue disorders, not elsewhere classified",Musculoskeletal
J10_INFLUPNEU,534,0.101 [0.087-0.11],1.409e-41,***,Influenza and pneumonia,Respiratory
F5_ANXIETY,71,0.099 [0.080-0.12],1.151e-19,***,Other anxiety disorders,Mental and behavioural
K11_FISTULA,485,0.093 [0.089-0.10],1.000e-315,***,Colonic or urogenital fistula,Digestive
C_DIFFICILE_ENTEROCOLITIS,2693,0.092 [0.089-0.10],1.000e-315,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
N14_PROSTHYPERPLA,3795,0.092 [0.088-0.10],1.000e-315,***,Hyperplasia of prostate,Genitourinary
M13_ENTESOPATHYOTH,48,0.089 [0.070-0.11],2.597e-15,***,Other enthesopathies,Musculoskeletal
VD_U,43,0.087 [0.072-0.10],2.743e-27,***,Vascular dementia (undefined),Mental and behavioural
F5_DEPRESSIO,2165,0.086 [0.080-0.09],4.117e-148,***,Depression,Mental and behavioural
H7_CHALAZION,671,0.082 [0.077-0.09],1.675e-280,***,Chalazion,Eye and adnexa
J10_UPPERINFEC,1002,0.080 [0.065-0.10],6.194e-19,***,Acute upper respiratory infections,Respiratory
F5_DELIRIUM,173,0.076 [0.062-0.09],5.544e-20,***,"Delirium, not induced by alcohol and other psychoactive substances",Mental and behavioural
M13_HAMMERTOE,331,0.074 [0.059-0.09],1.199e-18,***,Other hammer toe(s) (acquired),Musculoskeletal
CD2_BENIGN_MELANOCYTIC_TRUNK,183,0.070 [0.064-0.08],3.334e-103,***,Melanocytic naevi of trunk,Neoplasms
N14_MENSIRREG,59,0.069 [0.052-0.09],6.518e-11,***,Irregular menses,Genitourinary
J10_PLEURA,140,0.067 [0.056-0.08],9.373e-24,***,Other diseases of pleura,Respiratory
L12_DISORDSKINAPPENDIX,424,0.067 [0.047-0.09],1.516e-05,***,Disorders of skin appendages,Skin
N14_CHRONEPHROPATH,18,0.064 [0.053-0.07],6.070e-26,***,Chronic nephritic syndrome,Genitourinary
J10_SEPTDEV,498,0.060 [0.049-0.07],7.849e-19,***,Deviated nasal septum,Respiratory
H7_PARASTRAB,7,0.058 [0.038-0.08],0.002,**,Paralytic strabismus,Eye and adnexa
F5_VASCDEM,107,0.057 [0.036-0.08],0.016,*,Vascular dementia,Mental and behavioural
NEURODEGOTH,4178,0.056 [0.053-0.06],4.867e-201,***,Other degenerative diseases of the nervous system,Nervous
N14_FEMALEGENNONINF,279,0.055 [0.039-0.07],1.093e-06,***,Noninflammatory disorders of female genital tract,Genitourinary
N14_OVARYCYST,986,0.051 [0.046-0.06],6.167e-88,***,Ovarian cyst,Genitourinary
M13_MYALGIA,253,0.050 [0.041-0.06],1.607e-18,***,Myalgia,Musculoskeletal
E4_LIPOPROT,7076,0.048 [0.034-0.06],1.950e-05,***,Disorders of lipoprotein metabolism and other lipidaemias,Endocrine and metabolic
M13_HALLUXVALGUS,3980,0.048 [0.044-0.05],9.558e-111,***,Hallux valgus (acquired),Musculoskeletal
CD2_BENIGN_MELANOCYTIC,521,0.047 [0.037-0.06],3.908e-12,***,Melanocytic naevi,Neoplasms
N14_FEMALEINFERT,80,0.044 [0.030-0.06],0.001,**,Female infertility,Genitourinary
N14_MENORRHAGIA,717,0.042 [0.034-0.05],1.243e-16,***,Menorrhagia,Genitourinary
I9_HEARTFAIL,682,0.042 [0.033-0.05],7.037e-15,***,"Heart failure, strict",Circulatory
CD2_BENIGN_OVARY,144,0.041 [0.034-0.05],4.574e-26,***,Benign neoplasm of ovary,Neoplasms
J10_PLEURPLAGUE,310,0.040 [0.038-0.04],5.691e-163,***,Pleural plaque,Respiratory
AUD,259,0.040 [0.026-0.06],0.021,*,"Alcohol use disorder, ICD-based",Mental and behavioural
O15_PREG_OTHER_MAT_DISORD,1961,0.038 [0.030-0.05],2.572e-13,***,Other maternal disorders predominantly related to pregnancy,Pregnancy
COPD_EARLY,512,0.038 [0.035-0.04],9.191e-139,***,Early onset COPD,Respiratory
J10_PNEUMOTHORAX,46,0.037 [0.028-0.05],9.782e-12,***,Pneumothorax,Respiratory
CD2_LYMPHOID_LEUKAEMIA,767,0.036 [0.034-0.04],5.346e-263,***,Lymphoid leukaemia,Neoplasms
AB1_VIRAL_OTHER_INTEST_INFECTIONS,985,0.036 [0.030-0.04],1.152e-23,***,Viral and other specified intestinal infections,Infectious and parasitic
L12_ROSACEANAS,82,0.036 [0.029-0.04],1.298e-16,***,Other and unspecified rosacea,Skin
H8_EXTERNAL,828,0.033 [0.028-0.04],1.017e-24,***,Diseases of external ear,Ear and mastoid
K11_DISORD_TEETH,111,0.033 [0.022-0.04],9.465e-04,***,Other disorders of teeth and supporting structures,Digestive
K11_HERNIA,6152,0.032 [0.028-0.04],7.339e-58,***,Hernia,Digestive
N14_BENIGNMAMDYSP,134,0.031 [0.025-0.04],1.733e-15,***,Benign mammary dysplasia,Genitourinary
CD2_BENIGN_THYROID,151,0.031 [0.028-0.03],4.412e-104,***,Benign neoplasm of thyroid gland,Neoplasms
J10_EMPHYSEMA,365,0.030 [0.028-0.03],1.231e-105,***,Emphysema,Respiratory
N14_ORHCEPINDIDYMITIS,99,0.030 [0.021-0.04],2.110e-05,***,Orchitis and epididymitis,Genitourinary
N14_URETHRAOTH,610,0.029 [0.019-0.04],0.005,**,Other disorders of urethra and urinary system,Genitourinary
C3_BRONCHUS_LUNG,573,0.029 [0.026-0.03],1.796e-75,***,Malignant neoplasm of bronchus and lung,Neoplasms
N14_ENDOMETRIOSIS_UTERUS,193,0.029 [0.024-0.03],1.370e-22,***,Adenomyosis (Endometriosis of uterus),Genitourinary
M13_CALCIFICTEND,177,0.027 [0.024-0.03],1.035e-61,***,Calcific tendinitis of shoulder,Musculoskeletal
AD_AM,451,0.027 [0.021-0.03],1.165e-10,***,Alzheimer disease (Atypical or mixed),Nervous
C3_LUNG_NONSMALL,527,0.027 [0.024-0.03],9.041e-84,***,Non-small cell lung cancer,Neoplasms
N14_CALCUKIDUR,1321,0.026 [0.022-0.03],1.474e-28,***,Calculus of kidney and ureter,Genitourinary
J10_CHRONTONSADEN,5827,0.026 [0.022-0.03],6.072e-36,***,Chronic diseases of tonsils and adenoids,Respiratory
C3_KIDNEY_NOTRENALPELVIS,209,0.026 [0.020-0.03],5.043e-14,***,"Malignant neoplasm of kidney, except renal pelvis",Neoplasms
N14_PHIMOSIS,4306,0.025 [0.023-0.03],1.415e-114,***,"Redundant prepuce, phimosis and paraphimosis",Genitourinary
C3_ANUS_ANALCANAL,76,0.024 [0.021-0.03],2.375e-39,***,Malignant neoplasm of anus and anal canal,Neoplasms
O15_LABOUR_MALPOS,202,0.024 [0.016-0.03],7.560e-04,***,Obstructed labour due to malposition and malpresentation of fetus,Pregnancy
N14_BREAST,659,0.024 [0.017-0.03],1.070e-07,***,Disorders of breast,Genitourinary
CD2_FOLLICULAR_LYMPHOMA,5808,0.023 [0.022-0.02],1.000e-315,***,"Follicular lymphoma, hilmo",Neoplasms
M13_SYNOTEND,1267,0.023 [0.015-0.03],6.622e-04,***,Disorders of synovium and tendon,Musculoskeletal
KRA_PSY_DEMENTIA,2863,0.023 [0.020-0.03],3.331e-38,***,Any dementia,Mental and behavioural
C3_CLL_WIDE,431,0.023 [0.021-0.02],6.181e-123,***,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, including Hilmo",Neoplasms
J10_UPPERDIS,4085,0.023 [0.015-0.03],0.001,**,Other diseases of upper respiratory tract,Respiratory
CD2_BENIGN_LEIOMYOMA_UTERI,9079,0.022 [0.020-0.02],1.948e-99,***,Leiomyoma of uterus,Neoplasms
G6_NEURODEGENERATIVE,4069,0.021 [0.018-0.02],1.602e-45,***,Unspecific neurodegenerative disorder,Nervous
H8_EXTOTITIS,1164,0.021 [0.016-0.03],5.546e-08,***,Otitis externa,Ear and mastoid
M13_POSTOPMUSCULOSKE,86,0.021 [0.014-0.03],0.016,*,"Postprocedural musculoskeletal disorders, not elsewhere classified",Musculoskeletal
F5_DEMENTIA,3308,0.021 [0.018-0.02],2.209e-35,***,Dementia,Mental and behavioural
K11_GASTRODUOULC,227,0.021 [0.015-0.03],5.876e-06,***,Gastroduodenal ulcer,Digestive
N14_OTHNONINFUTER,645,0.020 [0.017-0.02],1.911e-26,***,"Other noninflammatory disorders of uterus, except cervix",Genitourinary
I9_OTHARR,798,0.020 [0.014-0.03],5.666e-05,***,Other arrhythmias,Circulatory
I9_AORTANEUR,1277,0.020 [0.017-0.02],4.803e-42,***,Aortic aneurysm,Circulatory
F5_PTSD,319,0.020 [0.012-0.03],0.035,*,Post-traumatic stress disorder,Mental and behavioural
F5_ALZHDEMENT,2076,0.019 [0.016-0.02],1.892e-33,***,Dementia in Alzheimer disease,Mental and behavioural
O15_GESTAT_HYPERT,476,0.019 [0.012-0.03],0.026,*,Gestational [pregnancy-induced] hypertension,Pregnancy
H7_OPTNERVE,2671,0.017 [0.014-0.02],1.795e-14,***,Disorders of optic nerve and visual pathways,Eye and adnexa
G6_OTHDEMYEL,3560,0.017 [0.015-0.02],1.801e-120,***,Other demyelinating diseases of the central nervous system,Nervous
G6_ALZHEIMER,2982,0.016 [0.013-0.02],1.115e-26,***,Alzheimer disease,Nervous
ULCERRECT,2148,0.016 [0.013-0.02],3.342e-31,***,Ulcerative rectosigmoiditis,Digestive
E4_HYPERPIT,147,0.015 [0.011-0.02],5.094e-07,***,Hyperfunction of pituitary gland,Endocrine and metabolic
L12_CORNSANDCALLOS,491,0.015 [0.011-0.02],7.965e-12,***,Corns and callosities,Skin
H7_BLINDMONOCULAR,75,0.015 [0.012-0.02],9.189e-15,***,"Blindness, monocular",Eye and adnexa
C3_THYROID_GLAND,1116,0.015 [0.013-0.02],8.355e-51,***,Malignant neoplasm of thyroid gland,Neoplasms
I9_THAORTANEUR,1182,0.014 [0.012-0.02],6.933e-30,***,Thoracic aortic aneurysm,Circulatory
K11_DIVERTIC,4845,0.013 [0.010-0.02],6.391e-09,***,Diverticular disease of intestine,Digestive
N14_ENDOMETRIOSIS,3268,0.013 [0.010-0.02],3.594e-12,***,Endometriosis,Genitourinary
M13_POLYARTHRITIS,1672,0.012 [0.010-0.01],1.442e-18,***,"Polyarthritis, unspecified",Musculoskeletal
K11_HERING,7337,0.012 [0.010-0.01],9.136e-21,***,Inguinal hernia,Digestive
M13_FOREIGNBODY,77,0.012 [0.007-0.02],0.026,*,Residual foreign body in soft tissue,Musculoskeletal
CD2_BENIGN_MENINGES,586,0.011 [0.008-0.01],3.485e-07,***,Benign neoplasm of meninges,Neoplasms
M13_SYSTSLCE,1075,0.011 [0.008-0.01],7.654e-12,***,Systemic sclerosis,Musculoskeletal
K11_UMBHER,2034,0.011 [0.007-0.01],0.047,*,Umbilical hernia,Digestive
H8_TINNITUS,193,0.010 [0.007-0.01],0.005,**,Tinnitus,Ear and mastoid
M13_GOUT,3183,0.010 [0.007-0.01],0.002,**,Gout,Musculoskeletal
E4_MINERAL_MET,806,0.009 [0.008-0.01],5.184e-36,***,Disorders of mineral metabolism,Endocrine and metabolic
H7_HEREDRETINADYST,308,0.007 [0.005-0.01],9.234e-10,***,Hereditary retinal dystrophy,Eye and adnexa
G6_RLS,898,0.006 [0.004-0.01],3.465e-05,***,Restless leg syndrome,Nervous
H7_ENTROPION,903,0.006 [0.004-0.01],4.960e-08,***,Entropion and trichiasis of eyelid,Eye and adnexa
GOUT_IDIO,1453,0.006 [0.005-0.01],1.994e-12,***,Idiopathic gout,Musculoskeletal
E4_LACTONAS,2420,0.004 [0.004-0.00],3.848e-68,***,"Lactose intolerance, other/unspecified",Endocrine and metabolic
H7_IRIDONAS,4666,0.004 [0.003-0.01],1.438e-07,***,Other and unspecified iridocyclitis,Eye and adnexa
RHEUMA_SEROPOS_WIDE,21443,0.004 [0.003-0.00],1.293e-15,***,"Seropositive rheumatoid arthritis, wide",Musculoskeletal
E4_IRON_MET,3833,0.003 [0.003-0.00],1.753e-71,***,Disorders of iron metabolism,Endocrine and metabolic
D3_COAGDEFNAS,3629,-0.001 [-0.002--0.00],0.005,**,Other and unspecified coagulation defects,Blood and immune
M13_ANKYLOSPON,29005,-0.001 [-0.002--0.00],6.684e-12,***,Ankylosing spondylitis,Musculoskeletal
E4_GILBERT,452,-0.002 [-0.002--0.00],1.027e-08,***,Gilbert syndrome,Endocrine and metabolic
L12_PSORI_NAS,8866,-0.002 [-0.003--0.00],0.010,**,Other and unspecified psoriasis,Skin
E4_PORBILIR,370,-0.002 [-0.003--0.00],2.834e-11,***,Disorders of porphyrin and bilirubin metabolism,Endocrine and metabolic
D3_COAGOTHER,2572,-0.003 [-0.004--0.00],6.054e-11,***,Other coagulation defects,Blood and immune
