Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
N14_RENALTUB,449,0.408 [0.394-0.42],1.000e-315,***,Renal tubulo-interstitial diseases,Genitourinary
E4_LIPOPROTNAS,242,0.303 [0.258-0.35],1.304e-35,***,"Disorder of lipoprotein metabolism, unspecified",Endocrine and metabolic
K11_CHRONGASTR,210,0.282 [0.271-0.29],1.000e-315,***,Chronic gastritis,Digestive
M13_SOFTTISSUE,1904,0.262 [0.246-0.28],3.375e-212,***,Soft tissue disorders,Musculoskeletal
K11_OESSTODUO,43,0.244 [0.197-0.29],7.401e-19,***,"Diseases of oesophagus, stomach and duodenum",Digestive
L12_DERMATITISNAS,2477,0.211 [0.203-0.22],1.000e-315,***,Dermatitis,Skin
M13_LOWBACKPAIN,1988,0.194 [0.183-0.20],1.063e-295,***,Low back pain,Musculoskeletal
G6_MIGRAINE_WITH_AURA,143,0.191 [0.181-0.20],1.000e-315,***,Migraine with aura,Nervous
K11_FUNCDYSP,169,0.189 [0.181-0.20],1.000e-315,***,Functional dyspepsia,Digestive
JOINTPAIN,1595,0.184 [0.170-0.20],1.017e-129,***,Pain in joint,Musculoskeletal
O15_PRETERM,17,0.184 [0.154-0.21],5.976e-29,***,Preterm labour and delivery,Pregnancy
E4_HYPERLIPNAS,1251,0.171 [0.145-0.20],8.272e-32,***,"Hyperlipidaemia, other/unspecified",Endocrine and metabolic
G6_NERPLEX,2804,0.164 [0.155-0.17],3.049e-260,***,"Nerve, nerve root and plexus disorders",Nervous
M13_MUSCLE,168,0.164 [0.159-0.17],1.000e-315,***,Disorders of muscles,Musculoskeletal
M13_DORSALGIANAS,1009,0.145 [0.134-0.16],5.524e-156,***,Other/unspecified dorsalgia,Musculoskeletal
CD2_BENIGN_COLON_NOS,212,0.143 [0.102-0.18],2.427e-06,***,"Benign neoplasm: Colon, unspecified",Neoplasms
K11_OTHENTERCOL,751,0.143 [0.135-0.15],2.234e-262,***,Other noninfective gastroenteritis and colitis,Digestive
D3_AGRANULOCYTOSIS,347,0.136 [0.131-0.14],1.000e-315,***,Agranulocytosis,Blood and immune
M13_DORSOPATHYOTH,5393,0.133 [0.126-0.14],4.129e-272,***,"Other dorsopathies, not elsewhere classified",Musculoskeletal
E4_FH,518,0.128 [0.092-0.16],5.816e-07,***,Familial hypercholesterolemia,Endocrine and metabolic
L12_OTHERCONTACT,39,0.128 [0.094-0.16],5.296e-08,***,Other contact dermatitis,Skin
E4_METABOLIA,4834,0.124 [0.103-0.14],6.404e-27,***,Metabolic disorders,Endocrine and metabolic
L12_OTHERSKINSUBCUTIS,3364,0.122 [0.115-0.13],2.137e-261,***,Other disorders of skin and subcutaneous tissue,Skin
AB1_GASTROENTERITIS_NOS,923,0.119 [0.102-0.14],1.844e-36,***,Diarrhoea and gastroenteritis of presumed infectious origin,Infectious and parasitic
N14_EROSECTROPUT,31,0.109 [0.097-0.12],1.320e-64,***,Erosion and ectropion of cervix uteri,Genitourinary
M13_SPONDYLOSIS,854,0.102 [0.087-0.12],5.719e-35,***,Spondylosis,Musculoskeletal
PD_DEMENTIA,12,0.101 [0.071-0.13],8.173e-06,***,Dementia due to Parkinson's disease,Mental and behavioural
L12_URTICA_NAS,213,0.101 [0.085-0.12],1.608e-27,***,Other and unspecified urticaria,Skin
K11_OTHINFLIV,466,0.099 [0.097-0.10],1.000e-315,***,Other inflammatory liver diseases,Digestive
AB1_SEXUAL_TRANSMISSION,7171,0.098 [0.096-0.10],1.000e-315,***,Infections with a predominantly sexual mode of transmission,Infectious and parasitic
M13_OTHERJOINT,3314,0.098 [0.089-0.11],2.235e-98,***,Other joint disorders,Musculoskeletal
I9_POSTAMI,149,0.094 [0.068-0.12],2.912e-07,***,Status post-ami,Circulatory
I9_ATHSCLE,3616,0.094 [0.089-0.10],3.583e-277,***,"Atherosclerosis, excluding cerebral and coronary sclerosis",Circulatory
CD2_BENIGN_PAROTID,171,0.093 [0.086-0.10],1.499e-142,***,Benign neoplasm: Parotid gland,Neoplasms
M13_SPINSTENOSIS,4505,0.091 [0.085-0.10],2.826e-239,***,Spinal stenosis,Musculoskeletal
CD2_BENIGN_EAR_RESP,224,0.087 [0.077-0.10],8.229e-57,***,Benign neoplasm of middle ear and respiratory system,Neoplasms
M13_INTERVERTEB,3685,0.085 [0.078-0.09],8.470e-117,***,Other intervertebral disc disorders,Musculoskeletal
M13_ARTHROPATHIES,7062,0.083 [0.075-0.09],7.229e-111,***,Arthropathies,Musculoskeletal
M13_THORACISPINEPAIN,151,0.080 [0.071-0.09],1.385e-73,***,Pain in thoracic spine,Musculoskeletal
M13_DORSOPATHY,8797,0.079 [0.074-0.08],2.320e-179,***,Dorsopathies,Musculoskeletal
F5_ALCOHOL_DEPENDENCE,95,0.077 [0.067-0.09],1.274e-40,***,Alcohol dependence,Mental and behavioural
J10_LOWCHRON,14991,0.077 [0.073-0.08],1.000e-315,***,Chronic lower respiratory diseases,Respiratory
H8_BPV,30,0.076 [0.052-0.10],1.787e-04,***,Benign paroxysmal vertigo,Ear and mastoid
K11_CHOLANGI,1455,0.075 [0.074-0.08],1.000e-315,***,"Cholangitis (primary sclerosing, PSC)",Digestive
I9_OTHPER,110,0.075 [0.061-0.09],6.168e-19,***,Other peripheral vascular diseases,Circulatory
N14_CHRONKIDNEYDIS,1777,0.074 [0.068-0.08],9.948e-119,***,Chronic kidney disease,Genitourinary
I9_UAP,1483,0.072 [0.059-0.09],4.691e-22,***,Unstable angina pectoris,Circulatory
L12_DERMATITISECZEMA,8563,0.072 [0.066-0.08],4.094e-153,***,Dermatitis and eczema,Skin
ALLERG_ASTHMA,7322,0.071 [0.069-0.07],1.000e-315,***,Allergic asthma (mode),Respiratory
H7_EYEOTH,57,0.070 [0.057-0.08],2.083e-21,***,Other disorders of eye and adnexa,Eye and adnexa
M13_SHOULDER,206,0.069 [0.046-0.09],3.490e-04,***,Shoulder lesions,Musculoskeletal
E4_ENDOMETPOSTOP,4212,0.068 [0.066-0.07],1.000e-315,***,"Postprocedural endocrine and metabolic disorders, not elsewhere classified",Endocrine and metabolic
L12_GRANULOMATOUSSKIN,404,0.067 [0.066-0.07],1.000e-315,***,Granulomatous disorders of skin and subcutaneous tissue,Skin
E4_THYROID,25555,0.067 [0.065-0.07],1.000e-315,***,Disorders of the thyroid gland,Endocrine and metabolic
