Abbreviations,TotalCover_cv,TotalGain_cv,Metabolite
Unsaturation,0.1490,0.2827,Degree of Unsaturation
Val,0.0860,0.0917,Valine
M-HDL-PL,0.0732,0.0591,Phospholipids in Medium HDL
M-HDL-L,0.0567,0.0470,Total-Lipids in Medium HDL
LA%,0.0438,0.0375,Linoleic Acid to Total-Fatty Acids percentage
MUFA%,0.0390,0.0367,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-C%,0.0487,0.0352,Cholesterol to Total-Lipids in Large LDL percentage
3-Hydroxybutyrate,0.0355,0.0296,3-Hydroxybutyrate
Tyr,0.0207,0.0282,Tyrosine
LDL-size,0.0307,0.0255,Average Diameter for LDL Particles
L-VLDL-C%,0.0175,0.0250,Cholesterol to Total-Lipids in Large VLDL percentage
XS-VLDL-PL%,0.0365,0.0245,Phospholipids to Total-Lipids in Very Small VLDL percentage
Citrate,0.0505,0.0242,Citrate
S-HDL-PL,0.0282,0.0237,Phospholipids in Small HDL
GlycA,0.0277,0.0237,Glycoprotein Acetyls
Omega-3,0.0287,0.0209,Omega-3 Fatty Acids
PC,0.0267,0.0203,Phosphatidylcholines
DHA,0.0183,0.0170,Docosahexaenoic Acid
IDL-PL%,0.0205,0.0143,Phospholipids to Total-Lipids in IDL percentage
Acetate,0.0152,0.0132,Acetate
L-LDL-CE%,0.0132,0.0120,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Acetoacetate,0.0125,0.0104,Acetoacetate
Creatinine,0.0150,0.0093,Creatinine
Gln,0.0102,0.0092,Glutamine
Omega-6/Omega-3,0.0097,0.0089,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Omega-3%,0.0108,0.0081,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-VLDL-CE%,0.0062,0.0081,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
Acetone,0.0068,0.0055,Acetone
Total-BCAA,0.0055,0.0054,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
PUFA/MUFA,0.0048,0.0046,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
L-VLDL-FC%,0.0042,0.0044,Free Cholesterol to Total-Lipids in Large VLDL percentage
Albumin,0.0068,0.0044,Albumin
XS-VLDL-FC%,0.0057,0.0032,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
PUFA%,0.0047,0.0028,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
XL-VLDL-PL%,0.0032,0.0026,Phospholipids to Total-Lipids in Very Large VLDL percentage
Leu,0.0022,0.0024,Leucine
L-HDL-TG,0.0037,0.0023,Triglycerides in Large HDL
Lactate,0.0027,0.0023,Lactate
SFA%,0.0018,0.0022,Saturated Fatty Acids to Total-Fatty Acids percentage
IDL-CE%,0.0028,0.0021,Cholesteryl Esters to Total-Lipids in IDL percentage
Sc-ala,0.0018,0.0020,Spectrometer-corrected alanine
LA,0.0038,0.0017,Linoleic Acid
Gly,0.0022,0.0013,Glycine
Ala,0.0010,0.0010,Alanine
L-LDL-PL%,0.0010,0.0008,Phospholipids to Total-Lipids in Large LDL percentage
Ile,0.0015,0.0008,Isoleucine
His,0.0010,0.0007,Histidine
Glu,0.0008,0.0005,Glucose
S-HDL-FC%,0.0010,0.0005,Free Cholesterol to Total-Lipids in Small HDL percentage
DHA%,0.0002,0.0003,Docosahexaenoic Acid to Total-Fatty Acids percentage
Glu-lactate,0.0003,0.0001,Glucose-lactate
Phe,0.0002,4.5256e-05,Phenylalanine
