Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.23 [1.10-1.39],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Tyr,1.06 [0.94-1.19],1.000,,Tyrosine
Omega-6/Omega-3,1.05 [0.93-1.19],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Gln,1.05 [0.92-1.18],1.000,,Glutamine
Gly,1.00 [0.89-1.12],1.000,,Glycine
VLDL-C,0.99 [0.88-1.11],1.000,,VLDL Cholesterol
Remnant-C,0.91 [0.81-1.03],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,0.85 [0.76-0.96],1.000,,Total-Cholesterol
HDL-CE,0.85 [0.74-0.97],1.000,,Cholesteryl Esters in HDL
M-LDL-FC%,0.81 [0.72-0.92],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
