Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Gln,1.25 [1.10-1.41],1.000,,Glutamine
M-LDL-TG%,1.23 [1.09-1.38],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Gly,1.08 [0.97-1.20],1.000,,Glycine
His,1.03 [0.91-1.16],1.000,,Histidine
M-LDL-CE%,1.02 [0.91-1.15],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Omega-6/Omega-3,0.98 [0.86-1.11],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
DHA%,0.96 [0.84-1.10],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
Total-CE,0.89 [0.79-1.01],1.000,,Total-Esterified Cholesterol
M-LDL-FC%,0.83 [0.73-0.94],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA/MUFA,0.79 [0.69-0.90],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
