Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB/ApoA1,1.06 [0.91-1.23],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
M-LDL-TG%,1.03 [0.88-1.21],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
ApoB,1.02 [0.88-1.18],1.000,,Apolipoprotein B
Remnant-C,1.00 [0.86-1.17],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Leu,1.00 [0.85-1.17],1.000,,Leucine
Total-FA,1.00 [0.84-1.18],1.000,,Total-Fatty Acids
Albumin,1.00 [0.85-1.17],1.000,,Albumin
PUFA,0.97 [0.83-1.14],1.000,,Polyunsaturated Fatty Acids
M-LDL-FC%,0.95 [0.81-1.13],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Unsaturation,0.93 [0.79-1.10],1.000,,Degree of Unsaturation
