Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.30 [1.11-1.52],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Phe,1.16 [0.99-1.36],1.000,,Phenylalanine
Tyr,1.06 [0.90-1.24],1.000,,Tyrosine
M-LDL-CE%,1.02 [0.86-1.20],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Ile,1.00 [0.85-1.18],1.000,,Isoleucine
VLDL-C,0.93 [0.79-1.09],1.000,,VLDL Cholesterol
Remnant-C,0.88 [0.75-1.04],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
HDL-CE,0.87 [0.73-1.04],1.000,,Cholesteryl Esters in HDL
Total-C,0.84 [0.70-0.99],1.000,,Total-Cholesterol
IDL-CE%,0.68 [0.58-0.79],0.186,,Cholesteryl Esters to Total-Lipids in IDL percentage
