Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.22 [1.06-1.41],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Tyr,1.13 [0.97-1.32],1.000,,Tyrosine
ApoB/ApoA1,1.09 [0.94-1.26],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
Ile,1.02 [0.88-1.19],1.000,,Isoleucine
Val,1.02 [0.87-1.19],1.000,,Valine
DHA%,0.95 [0.82-1.10],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
LA%,0.86 [0.74-0.99],1.000,,Linoleic Acid to Total-Fatty Acids percentage
PUFA%,0.86 [0.75-0.98],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6%,0.83 [0.73-0.96],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,0.80 [0.70-0.92],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
