Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Total-CE,1.03 [0.85-1.25],1.000,,Total-Esterified Cholesterol
M-LDL-TG%,1.02 [0.84-1.24],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
LDL-CE,1.02 [0.84-1.23],1.000,,Cholesteryl Esters in LDL
PUFA/MUFA,1.02 [0.83-1.24],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
VLDL-CE,1.01 [0.83-1.23],1.000,,Cholesteryl Esters in VLDL
L-VLDL-CE%,0.99 [0.81-1.22],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
L-VLDL-C%,0.99 [0.80-1.21],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
L-LDL-PL%,0.98 [0.80-1.20],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
L-VLDL-FC%,0.96 [0.77-1.20],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-FC%,0.96 [0.79-1.16],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
