Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.21 [1.11-1.31],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6/Omega-3,1.16 [1.07-1.25],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Ile,1.05 [0.97-1.13],1.000,,Isoleucine
M-LDL-PL%,1.02 [0.94-1.11],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Tyr,1.01 [0.93-1.10],1.000,,Tyrosine
M-LDL-FC%,0.91 [0.84-0.98],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-C,0.88 [0.81-0.95],1.000,,LDL Cholesterol
HDL-C,0.85 [0.77-0.94],1.000,,HDL Cholesterol
DHA%,0.83 [0.77-0.90],0.585,,Docosahexaenoic Acid to Total-Fatty Acids percentage
DHA,0.80 [0.73-0.87],0.170,,Docosahexaenoic Acid
