Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.14 [1.04-1.25],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,1.12 [1.03-1.22],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Omega-6/Omega-3,1.03 [0.94-1.12],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Val,1.02 [0.93-1.12],1.000,,Valine
VLDL-C,1.01 [0.93-1.11],1.000,,VLDL Cholesterol
Omega-3%,0.95 [0.87-1.03],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA,0.93 [0.85-1.02],1.000,,Docosahexaenoic Acid
Omega-6%,0.93 [0.86-1.01],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
PUFA%,0.91 [0.84-0.99],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,0.90 [0.83-0.97],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
