Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
MUFA%,1.24 [1.07-1.44],1.000,,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-TG%,1.16 [1.02-1.33],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA,1.16 [1.01-1.33],1.000,,Monounsaturated Fatty Acids
Omega-6/Omega-3,1.10 [0.95-1.26],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
LA,1.09 [0.95-1.26],1.000,,Linoleic Acid
LA%,0.98 [0.85-1.12],1.000,,Linoleic Acid to Total-Fatty Acids percentage
Omega-6%,0.92 [0.80-1.05],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
Omega-3%,0.88 [0.76-1.02],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
DHA%,0.88 [0.76-1.01],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
M-LDL-FC%,0.87 [0.77-0.99],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
