Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-FC%,1.09 [0.91-1.31],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
ApoB/ApoA1,1.07 [0.89-1.28],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
Clinical LDL-C,1.06 [0.89-1.27],1.000,,Clinical LDL Cholesterol
ApoB,1.06 [0.89-1.27],1.000,,Apolipoprotein B
Val,1.04 [0.86-1.25],1.000,,Valine
Total-FA,0.99 [0.83-1.18],1.000,,Total-Fatty Acids
Albumin,0.97 [0.81-1.16],1.000,,Albumin
Creatinine,0.97 [0.80-1.17],1.000,,Creatinine
SFA,0.95 [0.80-1.13],1.000,,Saturated Fatty Acids
M-LDL-TG%,0.94 [0.79-1.13],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
