Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-PL%,1.09 [0.99-1.20],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-TG%,1.08 [0.99-1.18],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,1.01 [0.93-1.11],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,1.01 [0.92-1.11],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,1.01 [0.92-1.10],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,1.00 [0.91-1.09],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,0.99 [0.90-1.10],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-LDL-C%,0.93 [0.85-1.02],1.000,,Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-C%,0.93 [0.85-1.01],1.000,,Cholesterol to Total-Lipids in Small HDL percentage
S-HDL-CE%,0.92 [0.84-1.01],1.000,,Cholesteryl Esters to Total-Lipids in Small HDL percentage
