Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.13 [1.08-1.20],0.763,,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.10 [1.05-1.16],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-PL%,1.09 [1.03-1.15],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
M-VLDL-TG%,1.07 [1.01-1.13],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-PL%,1.04 [0.99-1.10],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Albumin,0.87 [0.82-0.91],0.011,*,Albumin
M-HDL-FC%,0.85 [0.81-0.90],0.001,**,Free Cholesterol to Total-Lipids in Medium HDL percentage
ApoA1,0.85 [0.80-0.90],0.031,*,Apolipoprotein A1
HDL-L,0.85 [0.80-0.90],0.039,*,Total-Lipids in HDL
HDL-P,0.85 [0.80-0.90],0.012,*,Concentration of HDL Particles
Total-P,0.85 [0.80-0.90],0.004,**,Total-Concentration of Lipoprotein Particles
HDL-CE,0.84 [0.79-0.90],0.029,*,Cholesteryl Esters in HDL
HDL-C,0.84 [0.79-0.89],0.019,*,HDL Cholesterol
