Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-PL%,1.10 [0.96-1.25],1.000,,Phospholipids to Total-Lipids in Large HDL percentage
L-HDL-TG%,1.08 [0.94-1.23],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
IDL-TG%,1.05 [0.92-1.20],1.000,,Triglycerides to Total-Lipids in IDL percentage
L-LDL-PL%,1.05 [0.91-1.21],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
M-LDL-PL%,1.02 [0.88-1.17],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Remnant-C,0.94 [0.82-1.08],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-LDL-FC%,0.94 [0.83-1.06],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Non-HDL-C,0.93 [0.81-1.06],1.000,,Total-Cholesterol Minus HDL-C
LDL-C,0.92 [0.81-1.05],1.000,,LDL Cholesterol
Total-C,0.92 [0.80-1.05],1.000,,Total-Cholesterol
