Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-LDL-PL%,1.20 [1.09-1.32],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-TG%,1.18 [1.08-1.29],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-PL%,1.15 [1.05-1.27],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
M-VLDL-TG%,1.12 [1.01-1.23],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-PL%,1.12 [1.01-1.23],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.81 [0.75-0.88],0.152,,Cholesterol to Total-Lipids in Small LDL percentage
Non-HDL-C,0.81 [0.74-0.89],0.737,,Total-Cholesterol Minus HDL-C
Clinical LDL-C,0.81 [0.74-0.88],0.483,,Clinical LDL Cholesterol
LDL-C,0.81 [0.74-0.88],0.572,,LDL Cholesterol
L-LDL-C,0.80 [0.73-0.88],0.657,,Cholesterol in Large LDL
