Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-PL%,1.16 [0.95-1.42],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.14 [0.95-1.38],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
Ala,1.11 [0.92-1.34],1.000,,Alanine
Phe,1.11 [0.92-1.33],1.000,,Phenylalanine
M-HDL-TG%,1.05 [0.86-1.29],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
ApoA1,1.00 [0.81-1.23],1.000,,Apolipoprotein A1
HDL-C,0.96 [0.76-1.21],1.000,,HDL Cholesterol
M-LDL-FC%,0.91 [0.77-1.09],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Clinical LDL-C,0.77 [0.64-0.92],1.000,,Clinical LDL Cholesterol
ApoB,0.77 [0.63-0.93],1.000,,Apolipoprotein B
