Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-PL%,1.04 [0.95-1.14],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,1.02 [0.94-1.11],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.01 [0.93-1.11],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-C%,1.01 [0.93-1.11],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,1.00 [0.92-1.10],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-PL%,1.00 [0.91-1.09],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
S-HDL-PL%,0.99 [0.90-1.09],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
S-LDL-C%,0.95 [0.87-1.04],1.000,,Cholesterol to Total-Lipids in Small LDL percentage
S-HDL-FC%,0.94 [0.85-1.04],1.000,,Free Cholesterol to Total-Lipids in Small HDL percentage
S-LDL-CE%,0.93 [0.85-1.02],1.000,,Cholesteryl Esters to Total-Lipids in Small LDL percentage
