Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Glu,1.76 [1.50-2.08],2.068e-06,***,Glucose
Glu-lactate,1.73 [1.49-2.00],7.150e-08,***,Glucose-lactate
L-LDL-TG%,1.38 [1.18-1.62],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
L-VLDL-TG%,1.18 [0.96-1.45],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
L-HDL-TG%,1.11 [0.93-1.32],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
M-LDL-FC%,0.94 [0.80-1.10],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-C,0.90 [0.72-1.11],1.000,,HDL Cholesterol
LDL-C,0.75 [0.63-0.88],1.000,,LDL Cholesterol
M-LDL-C%,0.70 [0.61-0.81],0.296,,Cholesterol to Total-Lipids in Medium LDL percentage
XL-VLDL-PL%,0.69 [0.59-0.80],0.443,,Phospholipids to Total-Lipids in Very Large VLDL percentage
