Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-TG%,1.05 [0.96-1.16],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
Gln,1.05 [0.96-1.14],1.000,,Glutamine
M-LDL-PL%,1.04 [0.95-1.14],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Leu,1.03 [0.94-1.12],1.000,,Leucine
Ile,1.02 [0.94-1.12],1.000,,Isoleucine
LDL-CE,1.00 [0.91-1.08],1.000,,Cholesteryl Esters in LDL
VLDL-CE,0.99 [0.91-1.09],1.000,,Cholesteryl Esters in VLDL
M-LDL-FC%,0.99 [0.91-1.07],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-CE,0.97 [0.89-1.06],1.000,,Total-Esterified Cholesterol
HDL-CE,0.91 [0.82-1.01],1.000,,Cholesteryl Esters in HDL
