Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-TG%,1.05 [1.02-1.08],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.04 [1.02-1.07],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-LDL-PL%,1.04 [1.01-1.07],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
S-HDL-TG%,1.02 [0.99-1.05],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
M-LDL-PL%,1.02 [0.99-1.05],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Total-C,0.93 [0.91-0.96],0.146,,Total-Cholesterol
Total-CE,0.93 [0.91-0.96],0.117,,Total-Esterified Cholesterol
IDL-C,0.93 [0.90-0.96],0.136,,Cholesterol in IDL
LA,0.93 [0.90-0.95],0.045,*,Linoleic Acid
IDL-CE,0.93 [0.90-0.96],0.124,,Cholesteryl Esters in IDL
