Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-TG%,1.21 [1.10-1.32],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
M-LDL-TG%,1.17 [1.08-1.27],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
S-HDL-TG%,1.16 [1.06-1.27],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
S-HDL-PL%,1.07 [0.98-1.16],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
S-LDL-PL%,1.01 [0.92-1.10],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-FC%,0.87 [0.81-0.94],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-FC%,0.86 [0.79-0.93],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
L-LDL-FC%,0.83 [0.77-0.90],0.556,,Free Cholesterol to Total-Lipids in Large LDL percentage
XS-VLDL-C%,0.83 [0.77-0.89],0.226,,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.82 [0.76-0.89],0.085,,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
