Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-PL%,1.17 [1.06-1.29],1.000,,Phospholipids to Total-Lipids in Small HDL percentage
M-LDL-TG%,1.15 [1.05-1.26],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-VLDL-TG%,1.14 [1.03-1.26],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-TG%,1.05 [0.95-1.17],1.000,,Triglycerides to Total-Lipids in Small HDL percentage
S-LDL-PL%,1.03 [0.94-1.14],1.000,,Phospholipids to Total-Lipids in Small LDL percentage
M-LDL-PL%,0.96 [0.87-1.06],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-LDL-FC%,0.91 [0.83-1.00],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-CE%,0.91 [0.84-0.98],1.000,,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
M-VLDL-C%,0.89 [0.82-0.97],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-VLDL-FC%,0.88 [0.81-0.97],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
