Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.12 [1.11-1.14],3.412e-88,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.12 [1.10-1.13],1.656e-80,***,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,1.12 [1.10-1.13],1.573e-74,***,Triglycerides to Total-Lipids in IDL percentage
MUFA%,1.11 [1.09-1.12],1.736e-57,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-PL%,1.11 [1.09-1.12],1.974e-57,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
GlycA,1.10 [1.08-1.11],1.106e-45,***,Glycoprotein Acetyls
S-LDL-TG%,1.09 [1.08-1.10],1.911e-44,***,Triglycerides to Total-Lipids in Small LDL percentage
XS-VLDL-TG%,1.09 [1.07-1.10],6.476e-40,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
M-HDL-PL%,1.09 [1.07-1.10],4.474e-36,***,Phospholipids to Total-Lipids in Medium HDL percentage
S-HDL-TG%,1.07 [1.06-1.08],1.517e-24,***,Triglycerides to Total-Lipids in Small HDL percentage
S-VLDL-TG%,1.07 [1.06-1.08],1.936e-24,***,Triglycerides to Total-Lipids in Small VLDL percentage
IDL-PL%,1.07 [1.06-1.08],4.686e-25,***,Phospholipids to Total-Lipids in IDL percentage
L-HDL-PL%,1.06 [1.05-1.08],1.188e-19,***,Phospholipids to Total-Lipids in Large HDL percentage
M-HDL-TG%,1.06 [1.05-1.07],1.181e-18,***,Triglycerides to Total-Lipids in Medium HDL percentage
M-VLDL-TG%,1.06 [1.05-1.07],1.646e-17,***,Triglycerides to Total-Lipids in Medium VLDL percentage
S-HDL-PL%,1.06 [1.05-1.07],9.938e-17,***,Phospholipids to Total-Lipids in Small HDL percentage
IDL-TG,1.06 [1.04-1.07],2.736e-17,***,Triglycerides in IDL
SFA%,1.06 [1.04-1.07],8.278e-16,***,Saturated Fatty Acids to Total-Fatty Acids percentage
XS-VLDL-TG,1.06 [1.04-1.07],6.491e-17,***,Triglycerides in Very Small VLDL
XL-VLDL-TG%,1.05 [1.04-1.07],9.548e-12,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
L-VLDL-PL%,1.05 [1.04-1.07],9.210e-11,***,Phospholipids to Total-Lipids in Large VLDL percentage
L-HDL-TG%,1.05 [1.04-1.06],3.692e-12,***,Triglycerides to Total-Lipids in Large HDL percentage
L-LDL-TG,1.05 [1.04-1.06],4.106e-13,***,Triglycerides in Large LDL
S-HDL-TG,1.05 [1.04-1.06],3.329e-11,***,Triglycerides in Small HDL
HDL-TG,1.05 [1.04-1.06],7.449e-12,***,Triglycerides in HDL
M-HDL-TG,1.05 [1.04-1.06],9.977e-12,***,Triglycerides in Medium HDL
LDL-TG,1.05 [1.04-1.06],5.000e-11,***,Triglycerides in LDL
TG/PG,1.04 [1.03-1.06],1.141e-06,***,Triglycerides to Phosphoglycerides ratio
XL-HDL-TG%,1.04 [1.03-1.06],8.859e-07,***,Triglycerides to Total-Lipids in Very Large HDL percentage
M-LDL-TG,1.04 [1.03-1.05],2.173e-08,***,Triglycerides in Medium LDL
L-HDL-TG,1.04 [1.03-1.05],2.267e-07,***,Triglycerides in Large HDL
XL-HDL-TG,1.04 [1.03-1.05],1.162e-06,***,Triglycerides in Very Large HDL
MUFA,1.04 [1.03-1.05],2.896e-05,***,Monounsaturated Fatty Acids
S-LDL-PL%,1.04 [1.03-1.05],1.450e-04,***,Phospholipids to Total-Lipids in Small LDL percentage
Omega-6/Omega-3,1.04 [1.03-1.05],7.858e-05,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-LDL-TG,1.04 [1.02-1.05],5.524e-05,***,Triglycerides in Small LDL
Lactate,1.03 [1.02-1.04],0.038,*,Lactate
XXL-VLDL-P,1.03 [1.02-1.04],0.028,*,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-PL,1.03 [1.02-1.04],0.031,*,Phospholipids in Chylomicrons and Extremely Large VLDL
M-VLDL-P,0.97 [0.96-0.98],0.026,*,Concentration of Medium VLDL Particles
M-VLDL-PL,0.97 [0.96-0.98],0.019,*,Phospholipids in Medium VLDL
XS-VLDL-CE,0.97 [0.96-0.98],0.010,*,Cholesteryl Esters in Very Small VLDL
L-LDL-PL%,0.97 [0.96-0.98],7.614e-04,***,Phospholipids to Total-Lipids in Large LDL percentage
Total-L,0.97 [0.96-0.98],0.001,**,Total-Lipids in Lipoprotein Particles
L-VLDL-C%,0.97 [0.96-0.98],0.002,**,Cholesterol to Total-Lipids in Large VLDL percentage
S-LDL-CE%,0.97 [0.96-0.98],0.001,**,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Citrate,0.97 [0.95-0.98],0.009,**,Citrate
S-VLDL-FC,0.97 [0.96-0.98],2.626e-04,***,Free Cholesterol in Small VLDL
Total-BCAA,0.97 [0.95-0.98],0.003,**,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
SM,0.97 [0.95-0.98],0.002,**,Sphingomyelins
HDL-P,0.96 [0.95-0.98],8.696e-04,***,Concentration of HDL Particles
XXL-VLDL-C%,0.96 [0.95-0.98],2.907e-04,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
S-LDL-P,0.96 [0.95-0.97],4.102e-06,***,Concentration of Small LDL Particles
M-VLDL-FC,0.96 [0.95-0.97],3.145e-06,***,Free Cholesterol in Medium VLDL
S-LDL-PL,0.96 [0.95-0.97],9.901e-07,***,Phospholipids in Small LDL
XXL-VLDL-CE%,0.96 [0.95-0.97],4.848e-05,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-P,0.96 [0.95-0.97],1.254e-07,***,Concentration of Large LDL Particles
HDL-C,0.96 [0.95-0.97],6.278e-05,***,HDL Cholesterol
S-HDL-P,0.96 [0.95-0.97],3.018e-07,***,Concentration of Small HDL Particles
XL-VLDL-FC%,0.96 [0.95-0.97],1.004e-06,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
Total-P,0.96 [0.95-0.97],1.448e-06,***,Total-Concentration of Lipoprotein Particles
S-VLDL-CE%,0.96 [0.95-0.97],4.592e-09,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
IDL-PL,0.96 [0.95-0.97],3.761e-08,***,Phospholipids in IDL
ApoB,0.96 [0.95-0.97],4.266e-09,***,Apolipoprotein B
LDL-P,0.96 [0.95-0.97],4.686e-09,***,Concentration of LDL Particles
L-VLDL-CE%,0.96 [0.95-0.97],5.519e-08,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
S-LDL-L,0.96 [0.95-0.97],8.761e-10,***,Total-Lipids in Small LDL
L-LDL-CE%,0.96 [0.95-0.97],4.175e-10,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
Remnant-C,0.96 [0.95-0.97],3.619e-10,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
S-LDL-CE,0.96 [0.95-0.97],4.578e-10,***,Cholesteryl Esters in Small LDL
Val,0.96 [0.94-0.97],8.929e-08,***,Valine
HDL-CE,0.96 [0.94-0.97],1.248e-06,***,Cholesteryl Esters in HDL
IDL-P,0.96 [0.95-0.97],2.050e-10,***,Concentration of IDL Particles
S-HDL-C,0.95 [0.94-0.97],1.426e-09,***,Cholesterol in Small HDL
Omega-3,0.95 [0.94-0.97],7.667e-10,***,Omega-3 Fatty Acids
Omega-6,0.95 [0.94-0.96],8.490e-11,***,Omega-6 Fatty Acids
M-LDL-P,0.95 [0.94-0.96],1.022e-11,***,Concentration of Medium LDL Particles
M-LDL-CE,0.95 [0.94-0.96],5.202e-12,***,Cholesteryl Esters in Medium LDL
M-VLDL-PL%,0.95 [0.94-0.96],3.759e-12,***,Phospholipids to Total-Lipids in Medium VLDL percentage
M-LDL-PL,0.95 [0.94-0.96],2.050e-12,***,Phospholipids in Medium LDL
M-LDL-L,0.95 [0.94-0.96],5.211e-13,***,Total-Lipids in Medium LDL
LA,0.95 [0.94-0.96],1.057e-13,***,Linoleic Acid
M-VLDL-C,0.95 [0.94-0.96],8.475e-15,***,Cholesterol in Medium VLDL
PUFA,0.95 [0.94-0.96],5.671e-14,***,Polyunsaturated Fatty Acids
IDL-L,0.95 [0.94-0.96],1.935e-14,***,Total-Lipids in IDL
S-HDL-CE,0.95 [0.94-0.96],9.421e-14,***,Cholesteryl Esters in Small HDL
