Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-TG%,1.05 [1.00-1.11],1.000,,Triglycerides to Total-Lipids in IDL percentage
M-LDL-TG%,1.04 [0.99-1.10],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
TG/PG,1.03 [0.97-1.09],1.000,,Triglycerides to Phosphoglycerides ratio
IDL-PL%,1.02 [0.97-1.08],1.000,,Phospholipids to Total-Lipids in IDL percentage
XXL-VLDL-TG,1.02 [0.96-1.07],1.000,,Triglycerides in Chylomicrons and Extremely Large VLDL
Remnant-C,0.97 [0.92-1.02],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.97 [0.92-1.02],1.000,,Total-Cholesterol Minus HDL-C
HDL-C,0.97 [0.91-1.03],1.000,,HDL Cholesterol
LDL-C,0.96 [0.92-1.02],1.000,,LDL Cholesterol
M-LDL-FC%,0.96 [0.91-1.02],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
