Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB/ApoA1,1.05 [0.95-1.15],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
VLDL-C,1.04 [0.95-1.15],1.000,,VLDL Cholesterol
M-LDL-PL%,1.02 [0.93-1.11],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
ApoB,1.01 [0.92-1.11],1.000,,Apolipoprotein B
Remnant-C,1.00 [0.91-1.10],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-FC,0.98 [0.89-1.08],1.000,,Total-Free Cholesterol
LDL-FC,0.96 [0.87-1.06],1.000,,Free Cholesterol in LDL
Unsaturation,0.93 [0.84-1.04],1.000,,Degree of Unsaturation
HDL-FC,0.92 [0.83-1.01],1.000,,Free Cholesterol in HDL
M-LDL-FC%,0.87 [0.79-0.96],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
