Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-PL%,1.06 [0.96-1.16],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
L-LDL-TG%,1.03 [0.94-1.13],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-FC%,1.02 [0.93-1.13],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-VLDL-C%,1.01 [0.92-1.11],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-CE%,1.01 [0.92-1.11],1.000,,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
M-VLDL-C%,1.00 [0.91-1.09],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
VLDL-C,0.95 [0.87-1.04],1.000,,VLDL Cholesterol
LDL-CE,0.93 [0.85-1.02],1.000,,Cholesteryl Esters in LDL
Total-CE,0.91 [0.83-1.00],1.000,,Total-Esterified Cholesterol
HDL-CE,0.90 [0.81-1.00],1.000,,Cholesteryl Esters in HDL
