Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
PUFA/MUFA,1.10 [0.98-1.24],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Omega-6%,1.07 [0.95-1.20],1.000,,Omega-6 Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,1.07 [0.95-1.19],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
DHA%,1.05 [0.94-1.18],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
Omega-3%,1.05 [0.94-1.17],1.000,,Omega-3 Fatty Acids to Total-Fatty Acids percentage
M-VLDL-PL%,0.99 [0.89-1.10],1.000,,Phospholipids to Total-Lipids in Medium VLDL percentage
ApoA1,0.98 [0.87-1.10],1.000,,Apolipoprotein A1
ApoB/ApoA1,0.86 [0.78-0.96],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
ApoB,0.85 [0.76-0.94],1.000,,Apolipoprotein B
Albumin,0.78 [0.70-0.86],0.481,,Albumin
