Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.06 [1.00-1.12],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
M-HDL-PL%,1.05 [0.99-1.12],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-TG%,1.05 [0.99-1.11],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
L-VLDL-TG%,1.04 [0.99-1.10],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
L-HDL-TG%,1.00 [0.94-1.06],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
M-LDL-FC%,0.96 [0.90-1.01],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-C,0.95 [0.89-1.02],1.000,,HDL Cholesterol
ApoB,0.94 [0.89-1.00],1.000,,Apolipoprotein B
LDL-C,0.94 [0.89-0.99],1.000,,LDL Cholesterol
Clinical LDL-C,0.93 [0.88-0.99],1.000,,Clinical LDL Cholesterol
