Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Omega-6/Omega-3,1.14 [1.04-1.25],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Ile,1.06 [0.97-1.17],1.000,,Isoleucine
Gly,1.05 [0.92-1.20],1.000,,Glycine
M-LDL-PL%,1.01 [0.92-1.11],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Total-BCAA,1.01 [0.91-1.11],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
M-LDL-FC%,0.94 [0.86-1.03],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Remnant-C,0.94 [0.86-1.03],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.93 [0.85-1.02],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.92 [0.84-1.01],1.000,,Total-Cholesterol
LDL-C,0.91 [0.83-1.00],1.000,,LDL Cholesterol
