Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.16 [1.04-1.30],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Omega-6/Omega-3,1.13 [1.01-1.27],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Total-BCAA,1.01 [0.90-1.14],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Val,1.01 [0.90-1.14],1.000,,Valine
VLDL-C,1.00 [0.90-1.12],1.000,,VLDL Cholesterol
Remnant-C,0.95 [0.85-1.06],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.92 [0.83-1.03],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.90 [0.81-1.01],1.000,,Total-Cholesterol
M-LDL-FC%,0.87 [0.78-0.97],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-CE,0.87 [0.76-0.99],1.000,,Cholesteryl Esters in HDL
