Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-VLDL-TG%,2.17 [1.63-2.89],0.042,*,Triglycerides to Total-Lipids in Very Large VLDL percentage
Glu,2.11 [1.78-2.49],1.189e-12,***,Glucose
Glu-lactate,2.10 [1.81-2.43],3.825e-17,***,Glucose-lactate
S-VLDL-TG%,1.94 [1.57-2.39],2.355e-04,***,Triglycerides to Total-Lipids in Small VLDL percentage
M-VLDL-TG%,1.89 [1.55-2.32],2.248e-04,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XS-VLDL-TG%,1.88 [1.55-2.27],2.239e-05,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
IDL-TG%,1.78 [1.50-2.12],1.336e-05,***,Triglycerides to Total-Lipids in IDL percentage
L-LDL-TG%,1.71 [1.44-2.03],1.913e-04,***,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.67 [1.41-1.97],5.254e-04,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-HDL-PL%,1.55 [1.32-1.83],0.041,*,Phospholipids to Total-Lipids in Large HDL percentage
M-VLDL-CE%,0.70 [0.62-0.78],2.529e-04,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
L-LDL-FC%,0.66 [0.57-0.77],0.012,*,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-C%,0.64 [0.56-0.74],1.055e-04,***,Cholesterol to Total-Lipids in Medium VLDL percentage
L-LDL-C%,0.64 [0.55-0.74],0.002,**,Cholesterol to Total-Lipids in Large LDL percentage
S-VLDL-CE%,0.64 [0.54-0.74],0.005,**,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-LDL-C%,0.64 [0.55-0.73],7.620e-05,***,Cholesterol to Total-Lipids in Medium LDL percentage
IDL-C%,0.64 [0.55-0.73],9.834e-05,***,Cholesterol to Total-Lipids in IDL percentage
IDL-CE%,0.64 [0.55-0.74],3.670e-04,***,Cholesteryl Esters to Total-Lipids in IDL percentage
S-LDL-C%,0.62 [0.53-0.72],2.269e-04,***,Cholesterol to Total-Lipids in Small LDL percentage
M-VLDL-FC%,0.62 [0.53-0.72],4.983e-05,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
LDL-L,0.61 [0.51-0.73],0.012,*,Total-Lipids in LDL
LDL-CE,0.60 [0.50-0.73],0.018,*,Cholesteryl Esters in LDL
XS-VLDL-CE%,0.60 [0.52-0.70],6.503e-06,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
XS-VLDL-C%,0.60 [0.52-0.70],1.414e-05,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-PL%,0.60 [0.52-0.70],1.621e-06,***,Phospholipids to Total-Lipids in Medium VLDL percentage
S-VLDL-C%,0.60 [0.51-0.71],1.257e-04,***,Cholesterol to Total-Lipids in Small VLDL percentage
LDL-C,0.60 [0.50-0.71],0.004,**,LDL Cholesterol
L-LDL-L,0.59 [0.50-0.71],0.005,**,Total-Lipids in Large LDL
Non-HDL-C,0.59 [0.50-0.70],0.001,**,Total-Cholesterol Minus HDL-C
ApoB,0.59 [0.49-0.71],0.017,*,Apolipoprotein B
L-LDL-CE,0.59 [0.49-0.71],0.012,*,Cholesteryl Esters in Large LDL
Total-C,0.58 [0.49-0.70],4.095e-04,***,Total-Cholesterol
S-VLDL-FC%,0.58 [0.50-0.69],1.805e-05,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
Remnant-C,0.58 [0.49-0.70],0.001,**,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
LDL-PL,0.58 [0.48-0.71],0.008,**,Phospholipids in LDL
S-LDL-FC,0.58 [0.48-0.71],0.016,*,Free Cholesterol in Small LDL
S-LDL-C,0.58 [0.48-0.71],0.023,*,Cholesterol in Small LDL
Clinical LDL-C,0.58 [0.49-0.69],1.974e-04,***,Clinical LDL Cholesterol
L-LDL-C,0.58 [0.48-0.70],0.003,**,Cholesterol in Large LDL
Total-CE,0.58 [0.49-0.69],4.210e-04,***,Total-Esterified Cholesterol
Total-FC,0.58 [0.48-0.69],0.001,**,Total-Free Cholesterol
M-LDL-FC,0.57 [0.47-0.70],0.010,*,Free Cholesterol in Medium LDL
XS-VLDL-CE,0.56 [0.46-0.69],0.014,*,Cholesteryl Esters in Very Small VLDL
L-LDL-PL,0.56 [0.46-0.68],0.002,**,Phospholipids in Large LDL
IDL-L,0.55 [0.46-0.67],1.229e-04,***,Total-Lipids in IDL
LDL-FC,0.55 [0.46-0.67],6.024e-04,***,Free Cholesterol in LDL
S-VLDL-PL%,0.55 [0.46-0.66],1.370e-05,***,Phospholipids to Total-Lipids in Small VLDL percentage
M-VLDL-C,0.55 [0.45-0.68],0.003,**,Cholesterol in Medium VLDL
IDL-PL,0.55 [0.45-0.67],0.001,**,Phospholipids in IDL
XL-VLDL-FC%,0.54 [0.43-0.67],0.008,**,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
IDL-P,0.54 [0.44-0.66],0.002,**,Concentration of IDL Particles
L-LDL-FC,0.54 [0.44-0.65],2.407e-04,***,Free Cholesterol in Large LDL
IDL-C,0.53 [0.44-0.64],1.749e-05,***,Cholesterol in IDL
IDL-CE,0.53 [0.44-0.64],2.021e-05,***,Cholesteryl Esters in IDL
IDL-FC,0.53 [0.43-0.65],1.476e-04,***,Free Cholesterol in IDL
M-VLDL-CE,0.52 [0.43-0.64],2.476e-04,***,Cholesteryl Esters in Medium VLDL
