Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
SFA%,1.09 [1.00-1.19],1.000,,Saturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-PL%,1.05 [0.96-1.15],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
HDL-FC,1.04 [0.94-1.15],1.000,,Free Cholesterol in HDL
Creatinine,1.01 [0.92-1.12],1.000,,Creatinine
DHA,1.01 [0.92-1.11],1.000,,Docosahexaenoic Acid
M-LDL-FC%,0.99 [0.90-1.08],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Leu,0.96 [0.87-1.05],1.000,,Leucine
Total-BCAA,0.95 [0.86-1.05],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Val,0.93 [0.85-1.03],1.000,,Valine
ApoB/ApoA1,0.92 [0.85-1.01],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
