Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.08 [1.02-1.14],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Tyr,1.06 [1.01-1.12],1.000,,Tyrosine
Phe,1.04 [0.99-1.10],1.000,,Phenylalanine
His,1.02 [0.97-1.08],1.000,,Histidine
Ile,1.01 [0.96-1.07],1.000,,Isoleucine
VLDL-C,0.96 [0.91-1.01],1.000,,VLDL Cholesterol
LDL-CE,0.93 [0.88-0.98],1.000,,Cholesteryl Esters in LDL
M-LDL-FC%,0.92 [0.87-0.97],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
HDL-CE,0.92 [0.86-0.98],1.000,,Cholesteryl Esters in HDL
Total-CE,0.91 [0.86-0.96],1.000,,Total-Esterified Cholesterol
