Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Omega-3,1.12 [0.97-1.29],1.000,,Omega-3 Fatty Acids
DHA,1.09 [0.95-1.26],1.000,,Docosahexaenoic Acid
M-LDL-TG%,1.06 [0.92-1.21],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA,1.01 [0.88-1.16],1.000,,Monounsaturated Fatty Acids
PUFA%,1.01 [0.88-1.16],1.000,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
M-LDL-FC%,0.96 [0.84-1.10],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Val,0.95 [0.82-1.11],1.000,,Valine
Clinical LDL-C,0.92 [0.81-1.06],1.000,,Clinical LDL Cholesterol
ApoB,0.92 [0.80-1.05],1.000,,Apolipoprotein B
ApoB/ApoA1,0.88 [0.77-1.02],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
