Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL%,1.09 [1.01-1.18],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-PL%,1.08 [1.00-1.18],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-VLDL-TG%,1.03 [0.95-1.13],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
L-VLDL-FC%,1.02 [0.93-1.11],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-HDL-TG%,1.01 [0.93-1.10],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
IDL-C%,0.85 [0.79-0.91],0.907,,Cholesterol to Total-Lipids in IDL percentage
S-LDL-C%,0.83 [0.77-0.89],0.142,,Cholesterol to Total-Lipids in Small LDL percentage
IDL-C,0.83 [0.77-0.90],0.961,,Cholesterol in IDL
IDL-CE,0.82 [0.76-0.89],0.515,,Cholesteryl Esters in IDL
IDL-CE%,0.82 [0.77-0.88],0.013,*,Cholesteryl Esters to Total-Lipids in IDL percentage
