Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB/ApoA1,1.13 [0.96-1.34],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
ApoB,1.05 [0.89-1.25],1.000,,Apolipoprotein B
LDL-C,1.02 [0.87-1.20],1.000,,LDL Cholesterol
Clinical LDL-C,1.02 [0.86-1.20],1.000,,Clinical LDL Cholesterol
M-LDL-TG%,1.01 [0.86-1.19],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
LDL-FC,1.00 [0.85-1.18],1.000,,Free Cholesterol in LDL
Pyruvate,0.98 [0.83-1.16],1.000,,Pyruvate
Glu,0.97 [0.82-1.13],1.000,,Glucose
M-LDL-FC%,0.93 [0.80-1.09],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Citrate,0.92 [0.77-1.10],1.000,,Citrate
