Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
HDL-CE,1.16 [0.94-1.44],1.000,,Cholesteryl Esters in HDL
M-LDL-TG%,1.08 [0.90-1.29],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
Total-CE,1.03 [0.86-1.24],1.000,,Total-Esterified Cholesterol
LDL-CE,1.02 [0.85-1.22],1.000,,Cholesteryl Esters in LDL
VLDL-C,1.02 [0.84-1.23],1.000,,VLDL Cholesterol
ApoB,1.00 [0.83-1.20],1.000,,Apolipoprotein B
Clinical LDL-C,0.98 [0.82-1.17],1.000,,Clinical LDL Cholesterol
His,0.96 [0.79-1.15],1.000,,Histidine
M-LDL-FC%,0.95 [0.79-1.14],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
ApoB/ApoA1,0.92 [0.76-1.11],1.000,,Apolipoprotein B to Apolipoprotein A1 ratio
