Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-VLDL-PL%,1.06 [0.95-1.18],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
M-HDL-PL%,1.05 [0.92-1.20],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
Ala,1.05 [0.93-1.18],1.000,,Alanine
M-LDL-FC%,1.03 [0.90-1.17],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-HDL-TG%,1.02 [0.90-1.15],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
PUFA/MUFA,0.99 [0.87-1.13],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
LDL-CE,0.98 [0.87-1.10],1.000,,Cholesteryl Esters in LDL
Total-CE,0.97 [0.85-1.09],1.000,,Total-Esterified Cholesterol
HDL-CE,0.94 [0.83-1.07],1.000,,Cholesteryl Esters in HDL
M-VLDL-TG%,0.93 [0.83-1.05],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
