Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-FC%,1.11 [0.92-1.34],1.000,,Free Cholesterol to Total-Lipids in IDL percentage
IDL-PL%,1.06 [0.88-1.28],1.000,,Phospholipids to Total-Lipids in IDL percentage
M-LDL-FC%,1.05 [0.86-1.28],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
XS-VLDL-PL,1.01 [0.84-1.23],1.000,,Phospholipids in Very Small VLDL
XS-VLDL-L,1.00 [0.82-1.22],1.000,,Total-Lipids in Very Small VLDL
M-VLDL-TG%,0.97 [0.80-1.19],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
VLDL-C,0.95 [0.78-1.15],1.000,,VLDL Cholesterol
HDL-CE,0.92 [0.73-1.15],1.000,,Cholesteryl Esters in HDL
LDL-CE,0.92 [0.76-1.11],1.000,,Cholesteryl Esters in LDL
Total-CE,0.92 [0.75-1.11],1.000,,Total-Esterified Cholesterol
