Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Citrate,1.12 [1.01-1.23],1.000,,Citrate
HDL-FC,1.07 [0.96-1.19],1.000,,Free Cholesterol in HDL
M-LDL-FC%,1.06 [0.94-1.19],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Omega-6,1.02 [0.92-1.14],1.000,,Omega-6 Fatty Acids
Total-FC,1.01 [0.91-1.12],1.000,,Total-Free Cholesterol
VLDL-CE,0.99 [0.90-1.10],1.000,,Cholesteryl Esters in VLDL
LDL-CE,0.99 [0.89-1.10],1.000,,Cholesteryl Esters in LDL
VLDL-C,0.98 [0.89-1.09],1.000,,VLDL Cholesterol
M-VLDL-TG%,0.92 [0.83-1.03],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
XXL-VLDL-TG%,0.82 [0.76-0.89],0.285,,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
