Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.03 [0.93-1.12],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-FC%,1.02 [0.93-1.12],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-PL%,1.02 [0.93-1.12],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
L-HDL-FC%,1.02 [0.93-1.12],1.000,,Free Cholesterol to Total-Lipids in Large HDL percentage
L-LDL-FC%,1.00 [0.91-1.10],1.000,,Free Cholesterol to Total-Lipids in Large LDL percentage
M-VLDL-TG%,0.98 [0.89-1.08],1.000,,Triglycerides to Total-Lipids in Medium VLDL percentage
Remnant-C,0.96 [0.88-1.06],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Non-HDL-C,0.95 [0.87-1.05],1.000,,Total-Cholesterol Minus HDL-C
Total-C,0.95 [0.87-1.04],1.000,,Total-Cholesterol
LDL-C,0.95 [0.87-1.04],1.000,,LDL Cholesterol
