Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-FC%,1.09 [0.96-1.23],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Leu,1.03 [0.92-1.16],1.000,,Leucine
Total-BCAA,1.01 [0.90-1.14],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Ile,1.01 [0.90-1.13],1.000,,Isoleucine
Val,1.01 [0.89-1.14],1.000,,Valine
M-VLDL-FC%,1.00 [0.89-1.12],1.000,,Free Cholesterol to Total-Lipids in Medium VLDL percentage
Total-C,0.92 [0.82-1.03],1.000,,Total-Cholesterol
Non-HDL-C,0.92 [0.82-1.03],1.000,,Total-Cholesterol Minus HDL-C
Remnant-C,0.90 [0.80-1.00],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
VLDL-C,0.87 [0.78-0.98],1.000,,VLDL Cholesterol
