Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Creatinine,1.69 [1.45-1.98],1.220e-05,***,Creatinine
L-VLDL-PL%,1.15 [0.95-1.40],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
L-VLDL-FC%,1.03 [0.87-1.22],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
M-HDL-C%,1.02 [0.86-1.22],1.000,,Cholesterol to Total-Lipids in Medium HDL percentage
M-LDL-FC%,1.00 [0.84-1.19],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
VLDL-C,0.77 [0.65-0.92],1.000,,VLDL Cholesterol
Non-HDL-C,0.74 [0.63-0.86],1.000,,Total-Cholesterol Minus HDL-C
Remnant-C,0.74 [0.63-0.87],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,0.73 [0.62-0.85],1.000,,Total-Cholesterol
Albumin,0.65 [0.56-0.74],3.303e-04,***,Albumin
