Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-PL%,1.06 [0.88-1.27],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Phe,1.04 [0.87-1.25],1.000,,Phenylalanine
Gly,1.04 [0.86-1.25],1.000,,Glycine
Tyr,1.04 [0.87-1.25],1.000,,Tyrosine
Gln,1.03 [0.86-1.23],1.000,,Glutamine
VLDL-C,0.91 [0.76-1.09],1.000,,VLDL Cholesterol
M-LDL-FC%,0.86 [0.72-1.03],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Remnant-C,0.83 [0.70-1.00],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-C,0.78 [0.65-0.94],1.000,,Total-Cholesterol
HDL-CE,0.74 [0.60-0.91],1.000,,Cholesteryl Esters in HDL
