Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.18 [1.11-1.26],0.065,,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.18 [1.11-1.25],0.046,*,Triglycerides to Total-Lipids in Medium LDL percentage
IDL-TG%,1.17 [1.10-1.25],0.330,,Triglycerides to Total-Lipids in IDL percentage
S-LDL-TG%,1.17 [1.10-1.25],0.365,,Triglycerides to Total-Lipids in Small LDL percentage
L-HDL-PL%,1.17 [1.09-1.24],0.701,,Phospholipids to Total-Lipids in Large HDL percentage
M-LDL-C%,0.87 [0.82-0.92],0.888,,Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-C%,0.86 [0.81-0.92],0.733,,Cholesterol to Total-Lipids in Large LDL percentage
PUFA%,0.86 [0.80-0.91],0.599,,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
L-LDL-FC%,0.86 [0.80-0.91],0.153,,Free Cholesterol to Total-Lipids in Large LDL percentage
LA%,0.84 [0.79-0.90],0.026,*,Linoleic Acid to Total-Fatty Acids percentage
