Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL%,1.10 [1.03-1.19],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
L-VLDL-PL%,1.10 [1.03-1.17],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
M-HDL-TG%,1.07 [1.00-1.15],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
M-LDL-PL%,1.06 [0.99-1.13],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-VLDL-TG%,1.01 [0.94-1.07],1.000,,Triglycerides to Total-Lipids in Large VLDL percentage
Total-CE,0.92 [0.85-0.98],1.000,,Total-Esterified Cholesterol
L-HDL-PL,0.83 [0.77-0.90],0.709,,Phospholipids in Large HDL
L-HDL-FC,0.83 [0.77-0.90],0.767,,Free Cholesterol in Large HDL
L-HDL-C,0.83 [0.77-0.90],0.868,,Cholesterol in Large HDL
L-HDL-L,0.83 [0.77-0.89],0.452,,Total-Lipids in Large HDL
