Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.11 [1.07-1.14],6.766e-07,***,Triglycerides to Total-Lipids in Large LDL percentage
XS-VLDL-PL%,1.10 [1.07-1.13],2.432e-05,***,Phospholipids to Total-Lipids in Very Small VLDL percentage
M-LDL-TG%,1.09 [1.06-1.12],5.281e-05,***,Triglycerides to Total-Lipids in Medium LDL percentage
Creatinine,1.09 [1.06-1.12],0.005,**,Creatinine
IDL-TG%,1.09 [1.06-1.12],5.232e-04,***,Triglycerides to Total-Lipids in IDL percentage
MUFA%,1.09 [1.05-1.12],0.016,*,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
Total-CE,0.93 [0.90-0.95],0.049,*,Total-Esterified Cholesterol
L-LDL-CE%,0.93 [0.90-0.95],0.009,**,Cholesteryl Esters to Total-Lipids in Large LDL percentage
S-HDL-P,0.92 [0.90-0.95],0.019,*,Concentration of Small HDL Particles
Omega-6,0.92 [0.90-0.95],0.016,*,Omega-6 Fatty Acids
Unsaturation,0.92 [0.90-0.95],0.028,*,Degree of Unsaturation
S-HDL-C,0.92 [0.90-0.95],0.008,**,Cholesterol in Small HDL
PUFA/MUFA,0.92 [0.90-0.95],0.028,*,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
LA%,0.92 [0.90-0.95],0.005,**,Linoleic Acid to Total-Fatty Acids percentage
LA,0.92 [0.90-0.95],0.002,**,Linoleic Acid
S-HDL-CE,0.92 [0.89-0.95],0.002,**,Cholesteryl Esters in Small HDL
PUFA,0.92 [0.89-0.95],0.003,**,Polyunsaturated Fatty Acids
Total-P,0.92 [0.89-0.95],0.013,*,Total-Concentration of Lipoprotein Particles
S-LDL-C%,0.92 [0.89-0.94],1.893e-04,***,Cholesterol to Total-Lipids in Small LDL percentage
IDL-C%,0.92 [0.89-0.94],5.519e-05,***,Cholesterol to Total-Lipids in IDL percentage
M-LDL-C%,0.91 [0.89-0.94],2.931e-06,***,Cholesterol to Total-Lipids in Medium LDL percentage
IDL-CE%,0.91 [0.89-0.94],1.552e-06,***,Cholesteryl Esters to Total-Lipids in IDL percentage
L-LDL-C%,0.90 [0.88-0.93],4.366e-08,***,Cholesterol to Total-Lipids in Large LDL percentage
Albumin,0.90 [0.88-0.93],2.486e-08,***,Albumin
