Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Pyruvate,1.05 [0.94-1.18],1.000,,Pyruvate
GlycA,1.04 [0.92-1.18],1.000,,Glycoprotein Acetyls
Glu,1.04 [0.93-1.17],1.000,,Glucose
M-LDL-FC%,1.02 [0.90-1.15],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Total-FC,1.01 [0.90-1.14],1.000,,Total-Free Cholesterol
Non-HDL-C,0.99 [0.88-1.12],1.000,,Total-Cholesterol Minus HDL-C
Clinical LDL-C,0.99 [0.88-1.11],1.000,,Clinical LDL Cholesterol
ApoB,0.98 [0.88-1.10],1.000,,Apolipoprotein B
M-LDL-PL%,0.98 [0.87-1.10],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
LDL-C,0.98 [0.87-1.10],1.000,,LDL Cholesterol
