Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-LDL-TG%,1.09 [1.04-1.14],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
L-HDL-TG%,1.04 [0.99-1.09],1.000,,Triglycerides to Total-Lipids in Large HDL percentage
M-LDL-PL%,1.03 [0.98-1.08],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
L-LDL-PL%,1.02 [0.98-1.07],1.000,,Phospholipids to Total-Lipids in Large LDL percentage
L-VLDL-PL%,1.02 [0.97-1.07],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
M-LDL-FC%,0.96 [0.91-1.01],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
Non-HDL-C,0.91 [0.86-0.95],1.000,,Total-Cholesterol Minus HDL-C
PUFA,0.89 [0.84-0.93],0.495,,Polyunsaturated Fatty Acids
Total-C,0.89 [0.84-0.93],0.231,,Total-Cholesterol
Total-CE,0.88 [0.84-0.93],0.174,,Total-Esterified Cholesterol
