Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Lactate,1.47 [1.31-1.66],1.351e-05,***,Lactate
L-LDL-TG%,1.20 [1.07-1.35],1.000,,Triglycerides to Total-Lipids in Large LDL percentage
M-LDL-TG%,1.17 [1.05-1.31],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
L-VLDL-FC%,1.06 [0.94-1.19],1.000,,Free Cholesterol to Total-Lipids in Large VLDL percentage
L-VLDL-C%,1.00 [0.89-1.13],1.000,,Cholesterol to Total-Lipids in Large VLDL percentage
M-LDL-FC%,0.87 [0.78-0.98],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LDL-CE,0.85 [0.75-0.95],1.000,,Cholesteryl Esters in LDL
Total-CE,0.81 [0.72-0.91],1.000,,Total-Esterified Cholesterol
Acetate,0.75 [0.66-0.84],0.819,,Acetate
M-HDL-FC%,0.72 [0.64-0.81],0.020,*,Free Cholesterol to Total-Lipids in Medium HDL percentage
