Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XS-VLDL-PL%,1.22 [1.13-1.30],0.020,*,Phospholipids to Total-Lipids in Very Small VLDL percentage
His,1.10 [1.03-1.18],1.000,,Histidine
M-LDL-PL%,1.08 [1.01-1.16],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
Ile,1.04 [0.97-1.12],1.000,,Isoleucine
Tyr,1.04 [0.97-1.12],1.000,,Tyrosine
VLDL-CE,0.96 [0.89-1.03],1.000,,Cholesteryl Esters in VLDL
Total-CE,0.88 [0.82-0.95],1.000,,Total-Esterified Cholesterol
IDL-CE%,0.85 [0.80-0.91],0.802,,Cholesteryl Esters to Total-Lipids in IDL percentage
M-LDL-C%,0.85 [0.80-0.91],0.235,,Cholesterol to Total-Lipids in Medium LDL percentage
S-LDL-C%,0.84 [0.78-0.89],0.035,*,Cholesterol to Total-Lipids in Small LDL percentage
