Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.18 [1.06-1.31],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
L-VLDL-PL%,1.14 [1.00-1.30],1.000,,Phospholipids to Total-Lipids in Large VLDL percentage
M-HDL-TG%,1.13 [1.01-1.27],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
M-HDL-PL%,1.13 [1.01-1.26],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-CE%,1.00 [0.90-1.12],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Total-CE,0.93 [0.83-1.04],1.000,,Total-Esterified Cholesterol
M-LDL-FC%,0.92 [0.82-1.02],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
LA%,0.90 [0.80-1.00],1.000,,Linoleic Acid to Total-Fatty Acids percentage
DHA%,0.84 [0.75-0.94],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
PUFA/MUFA,0.84 [0.75-0.94],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
