Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-PL%,1.09 [1.02-1.17],1.000,,Phospholipids to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.06 [0.99-1.14],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
Ala,1.03 [0.96-1.10],1.000,,Alanine
M-HDL-TG%,1.01 [0.94-1.08],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
Gln,1.01 [0.95-1.08],1.000,,Glutamine
Non-HDL-C,0.85 [0.79-0.90],0.077,,Total-Cholesterol Minus HDL-C
Total-CE,0.84 [0.79-0.90],0.050,,Total-Esterified Cholesterol
Total-C,0.84 [0.79-0.89],0.034,*,Total-Cholesterol
IDL-PL,0.84 [0.78-0.90],0.073,,Phospholipids in IDL
Total-FC,0.83 [0.78-0.89],0.020,*,Total-Free Cholesterol
