Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.23 [1.11-1.36],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-PL%,1.20 [1.08-1.34],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-HDL-TG%,1.19 [1.06-1.32],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
Ala,1.03 [0.93-1.15],1.000,,Alanine
M-LDL-CE%,1.02 [0.92-1.14],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Total-FC,1.00 [0.90-1.11],1.000,,Total-Free Cholesterol
HDL-FC,0.99 [0.88-1.12],1.000,,Free Cholesterol in HDL
LDL-FC,0.95 [0.86-1.06],1.000,,Free Cholesterol in LDL
Citrate,0.92 [0.83-1.03],1.000,,Citrate
M-LDL-FC%,0.84 [0.76-0.93],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
