Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-HDL-PL%,1.29 [1.12-1.49],1.000,,Phospholipids to Total-Lipids in Medium HDL percentage
M-LDL-TG%,1.21 [1.06-1.38],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
M-HDL-TG%,1.20 [1.04-1.39],1.000,,Triglycerides to Total-Lipids in Medium HDL percentage
M-LDL-CE%,1.09 [0.95-1.25],1.000,,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
Gln,1.04 [0.91-1.20],1.000,,Glutamine
Omega-6/Omega-3,1.00 [0.86-1.15],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
DHA%,0.93 [0.80-1.07],1.000,,Docosahexaenoic Acid to Total-Fatty Acids percentage
PUFA/MUFA,0.87 [0.75-1.01],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Total-CE,0.86 [0.75-0.99],1.000,,Total-Esterified Cholesterol
M-LDL-FC%,0.82 [0.72-0.94],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
