Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
Total-C,1.05 [0.94-1.18],1.000,,Total-Cholesterol
LDL-C,1.05 [0.94-1.18],1.000,,LDL Cholesterol
Non-HDL-C,1.05 [0.94-1.17],1.000,,Total-Cholesterol Minus HDL-C
Remnant-C,1.04 [0.93-1.16],1.000,,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-VLDL-C%,1.02 [0.91-1.15],1.000,,Cholesterol to Total-Lipids in Medium VLDL percentage
M-LDL-FC%,1.00 [0.89-1.12],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
PUFA/MUFA,0.98 [0.87-1.11],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
Leu,0.97 [0.86-1.09],1.000,,Leucine
Total-BCAA,0.95 [0.84-1.07],1.000,,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
Val,0.94 [0.83-1.06],1.000,,Valine
