Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-TG%,1.18 [1.01-1.37],1.000,,Triglycerides to Total-Lipids in Medium LDL percentage
MUFA,1.11 [0.95-1.31],1.000,,Monounsaturated Fatty Acids
Omega-3,1.07 [0.92-1.25],1.000,,Omega-3 Fatty Acids
Omega-6,1.04 [0.89-1.22],1.000,,Omega-6 Fatty Acids
LA,1.02 [0.88-1.20],1.000,,Linoleic Acid
VLDL-CE,0.99 [0.86-1.15],1.000,,Cholesteryl Esters in VLDL
Omega-6/Omega-3,0.95 [0.81-1.12],1.000,,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
Total-CE,0.94 [0.80-1.10],1.000,,Total-Esterified Cholesterol
PUFA/MUFA,0.87 [0.73-1.04],1.000,,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-LDL-FC%,0.82 [0.70-0.95],1.000,,Free Cholesterol to Total-Lipids in Medium LDL percentage
